,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
186,26.0,28.0,30.0,6,,,,,,,,,,,,,,,5
187,26.0,28.0,30.0,7,,,,,,,,,,,,,,,5
188,26.0,28.0,30.0,8,,,,,,,,,,,,,,,5
189,26.0,28.0,30.0,9,,,,,,,,,,,,,,,5
190,26.0,28.0,30.0,10,,,,,,,,,,,,,,,5
191,26.0,28.0,30.0,11,,,,,,,,,,,,,,,5
192,26.0,28.0,30.0,12,,,,,,,,,,,,,,,5
193,26.0,28.0,30.0,13,,,,,,,,,,,,,,,5
194,26.0,28.0,30.0,14,,,,,,,,,,,,,,,5
195,26.0,28.0,30.0,15,,,,,,,,,,,,,,,5
196,26.0,28.0,30.0,16,,,,,,,,,,,,,,,5
197,26.0,28.0,30.0,17,,,,,,,,,,,,,,,5
198,26.0,28.0,30.0,18,,,,,,,,,,,,,,,5
199,26.0,28.0,30.0,19,,,,,,,,,,,,,,,5
200,27.0,29.0,31.0,0,,,,,,,,,,,,,,,5
201,27.0,29.0,31.0,1,,,,,,,,,,,,,,,5
202,27.0,29.0,31.0,2,,,,,,,,,,,,,,,5
203,27.0,29.0,31.0,3,,,,,,,,,,,,,,,5
204,27.0,29.0,31.0,4,,,,,,,,,,,,,,,5
205,27.0,29.0,31.0,5,,,,,,,,,,,,,,,5
206,27.0,29.0,31.0,6,,,,,,,,,,,,,,,5
207,27.0,29.0,31.0,7,,,,,,,,,,,,,,,5
208,27.0,29.0,31.0,8,,,,,,,,,,,,,,,5
209,27.0,29.0,31.0,9,,,,,,,,,,,,,,,5
210,27.0,29.0,31.0,10,,,,,,,,,,,,,,,5
211,27.0,29.0,31.0,11,,,,,,,,,,,,,,,5
212,27.0,29.0,31.0,12,,,,,,,,,,,,,,,5
213,27.0,29.0,31.0,13,,,,,,,,,,,,,,,5
214,27.0,29.0,31.0,14,,,,,,,,,,,,,,,5
215,27.0,29.0,31.0,15,,,,,,,,,,,,,,,5
216,27.0,29.0,31.0,16,,,,,,,,,,,,,,,5
217,27.0,29.0,31.0,17,,,,,,,,,,,,,,,5
218,27.0,29.0,31.0,18,,,,,,,,,,,,,,,5
219,27.0,29.0,31.0,19,,,,,,,,,,,,,,,5
220,28.0,30.0,32.0,0,,,,,,,,,,,,,,,5
221,28.0,30.0,32.0,1,,,,,,,,,,,,,,,5
222,28.0,30.0,32.0,2,,,,,,,,,,,,,,,5
223,28.0,30.0,32.0,3,,,,,,,,,,,,,,,5
224,28.0,30.0,32.0,4,,,,,,,,,,,,,,,5
225,28.0,30.0,32.0,5,,,,,,,,,,,,,,,5
226,28.0,30.0,32.0,6,,,,,,,,,,,,,,,5
227,28.0,30.0,32.0,7,,,,,,,,,,,,,,,5
228,28.0,30.0,32.0,8,,,,,,,,,,,,,,,5
229,28.0,30.0,32.0,9,,,,,,,,,,,,,,,5
230,28.0,30.0,32.0,10,,,,,,,,,,,,,,,5
231,28.0,30.0,32.0,11,,,,,,,,,,,,,,,5
232,28.0,30.0,32.0,12,,,,,,,,,,,,,,,5
233,28.0,30.0,32.0,13,,,,,,,,,,,,,,,5
234,28.0,30.0,32.0,14,,,,,,,,,,,,,,,5
235,28.0,30.0,32.0,15,,,,,,,,,,,,,,,5
236,28.0,30.0,32.0,16,,,,,,,,,,,,,,,5
237,28.0,30.0,32.0,17,,,,,,,,,,,,,,,5
238,28.0,30.0,32.0,18,,,,,,,,,,,,,,,5
