,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
1995,36.0,40.0,44.0,95,11.107006549241111,3.2730006392230777,1.0,1.0,2.0776519053714315,1.0,1.0,1.0,1.0,330.19029499800246,11.307546535655161,4.484106970009649,2.0225113314168994,0.6049746607700632,2.0729874679624203,0.9095440359196256,1.167779817114531,0.669882608193144,0.0,512.4295265254765,308.7387897315996,940.5842834826159,9,1
1996,36.0,40.0,44.0,96,15.938895736578147,7.731239388728104,1.0,1.0,1.0,1.0,1.0,1.0,5.819826199236257,277.6633357279421,15.752386533767043,8.430300564682502,0.0,1.2061831916183356,1.50493331930391,5.340821568371302,0.0,0.5009271648279972,1.7962992337325328,345.95834288233556,208.43990158660716,631.4377946718591,9,1
1997,36.0,40.0,44.0,97,8.881638824929555,2.7378442768151228,1.0,1.5801193417400976,1.0,1.0,1.0,1.0,4.093576548994526,436.63112815462927,12.252367830399148,3.928644047920122,0.0,0.6039918941409358,2.649216723395354,0.0,0.0,0.0,0.2191336903372668,325.4241534305699,224.75348622559278,785.3813613128932,9,1
1998,36.0,40.0,44.0,98,11.855040844229,6.359613539179511,1.8297303537989502,1.0,1.0,1.0,1.0,1.0,1.0,320.598572479415,22.004976583883234,11.834882007194988,1.744693806084112,0.0,1.1572721601936586,3.497395860299652,0.0,2.4890398740591455,0.24875914567062504,644.3821488404768,428.51412897891703,1355.4380677138827,9,1
1999,36.0,40.0,44.0,99,11.499787063895454,6.994441178614034,1.0,1.0,1.2335679729987334,1.0,1.0,1.0,3.845104932556006,285.734660927689,12.664039030881113,7.292814861393475,0.0,2.02348750266879,2.1094053600913285,0.0,0.7760836525858212,0.0887532958024566,1.7597215660977805,414.9563261675706,127.06755046450814,2842.606085215579,9,1
2000,37.0,41.0,45.0,0,9.60359736817429,1.2225147861930217,1.0,1.5035337942163276,1.0,1.0,1.0,1.0,1.3561035668061254,372.1490799582455,9.457171894546041,2.166441400834912,0.0,1.2619699628020054,0.0,0.45678746357328315,0.24669455209795826,0.18595554994535343,1.153969939104655,414.8508959536737,196.35650793189,630.1921954280883,9,1
2001,37.0,41.0,45.0,1,9.072951064544723,1.0,1.0,2.8597121329841353,1.592476991024185,1.0,3.216493850943247,1.0,1.0,350.0767926301247,8.793061930271115,0.4558423863822762,0.03485788568073165,2.421560727738646,4.310744537013476,0.0,2.8848538725428794,0.0,0.0,503.47664869044286,327.8484477341203,1050.0485567682465,9,1
2002,37.0,41.0,45.0,2,7.919672804892526,1.0,1.2947091969595133,1.8808967792538107,3.7051041018703805,1.0,1.0,1.0,1.0,334.90709947275855,6.949958420204684,0.10643308719168712,3.0602758949526114,2.089383117157937,4.471572563123839,0.0,1.652989515683112,0.17686019464122893,0.0,492.9485770223798,315.4870892943231,800.8518420548202,9,1
2003,37.0,41.0,45.0,3,8.14559424381417,1.0340022535236761,1.0,1.822321378372159,1.1144350875139049,1.0,1.0,1.0,1.0,341.3551780555709,8.151669905456101,2.128752388459494,0.0,1.689075647927494,4.333042091725551,0.0,1.1709739075265955,0.23095230996697372,0.0,507.5878961831879,328.5610729230068,771.0672287040893,9,1
2004,37.0,41.0,45.0,4,8.393346252650657,1.0,2.590038315948511,2.234322919692665,4.1893191631427475,1.0,1.0,2.752476724755787,1.0,358.01469157179935,6.789279041946581,0.8951795550949103,3.2478392137581027,2.1454106401120723,2.3071325473017756,0.0,3.426677986501389,1.7960781343864225,0.0,386.4840695113708,237.687702749493,603.361091594867,9,1
