,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
563,45.0,49.0,53.0,3,1.0,1.0,1.0,1.871389004479353,1.476542532403178,1.82760771711549,1.0149373850744126,1.6902398945512758,2.8157089677850133,3094.191595296534,1.0,1.0,1.087263236891974,2.003543267537153,1.5487760519288558,1.7930680463635909,1.011912264508028,1.6023826911591246,2.7363334849924,3320.093212191774,1917.3538300407492,6309.241235604177,9
564,45.0,49.0,53.0,4,1.8985861736044207,1.0,1.7615015255905366,1.3623887101260845,2.0645266577816357,1.0,1.7515075184780924,1.2479319179977453,2.365987614007375,2867.7469931584897,1.8985959533674077,1.0000010151631589,1.7614966839701724,1.3623968568696387,2.064531819507125,1.0,1.7515027204712936,1.2479330276011984,2.3659863370150886,2818.5442399870344,1733.4047075920262,4400.1811808105285,9
565,45.0,49.0,53.0,5,1.0,1.0,1.379161620982179,2.068982172943605,1.2518278979711426,1.2606920491158053,1.9056287382706623,1.9604804185040257,2.5557164474173626,2418.5224104319836,1.2690463132303063,1.3778425069306195,1.412343542460348,2.1445391350761733,1.44073226197725,1.2050178873458075,1.76403883365674,1.917758821339593,2.633379638026396,2663.009577882509,1604.4632706742116,4072.868302480691,9
566,45.0,49.0,53.0,6,1.0,1.1766350264887506,1.145640065073064,1.8729581628790934,1.3039510576416666,1.1218697741019386,1.6108690749644814,1.0,2.965806270421956,2250.9262874683595,1.0,1.1766343132735126,1.145639479553231,1.8729618839248972,1.303950677737312,1.1218692783551965,1.6108666252823514,1.0,2.9658050293284304,2230.934284035591,1208.8973247190306,3964.1986124017044,9
567,45.0,49.0,53.0,7,1.0706693076793024,1.3174173137947764,1.2503917764357542,1.6192049493726466,1.2252569437664844,1.0,1.4821633981399671,1.5351368813587245,2.7700512695445227,3400.488832246198,1.0592056194512625,1.2659271477993257,1.3902969509601313,1.8267842285047953,1.2756362931907232,1.0,1.5349106892970994,1.8247306116291593,2.697755639639863,3547.005552083487,2004.0581369271702,6594.5502796321425,9
568,45.0,49.0,53.0,8,1.006183556550654,1.3002538505256214,1.6835475071657329,1.0,1.2369652701651719,2.1478406094925973,1.6733637629291875,1.0,3.1838393405812595,2597.7851989011037,1.006188862637238,1.3002496437602946,1.6835465504588867,1.0,1.2369675714786172,2.147832747160212,1.6733706945371412,1.000014145000373,3.183837788094181,2506.9754516203907,1447.7783233107757,4764.056875851697,9
569,45.0,49.0,53.0,9,1.0,1.063599685356929,1.5696753392325697,1.0,1.1996836066285,1.146526945319543,1.0,2.1473989275130587,3.7523384980885868,2015.9152723265174,1.0,1.6179517409631023,1.7129202922713684,1.0,1.2410799477902712,1.098141661194479,1.0,2.140656615686191,3.747270494339412,2237.6203922353225,1292.2257765158986,4252.195931270266,9
570,45.0,49.0,53.0,10,1.0,1.0475875101787304,2.398053522270869,1.0811563047353665,1.624484214756106,1.0184946611019066,1.4658082970875321,2.552819315684055,2.6208231879704553,2841.79902693542,1.0,1.0404279501646914,2.381417926985239,1.336601463546267,1.72744156010729,1.0157120168830416,1.3957271418540693,2.6753200752561126,2.619964579911729,3148.5265378482627,1857.630657330475,6112.7162655746415,9
571,45.0,49.0,53.0,11,1.6639582440653415,2.1641401420172888,1.7107265401745246,1.2926157752036376,1.468562741977887,1.3309198648907443,1.8691757104024704,1.1663353415413762,2.6656525600350123,3559.5174488086086,1.6639702760230428,2.164141926897195,1.7107292893230257,1.2926307965850814,1.4685839032783259,1.3309136734856284,1.8691594544313577,1.1663457475426737,2.665650991481484,3337.6985447207553,1927.5209095762361,6342.697010144025,9
572,45.0,49.0,53.0,12,1.494007475789138,1.3507472533603115,2.0333760263676495,1.8830980407242641,1.5679336657223355,1.0,1.4620451868521602,1.6085814093415753,3.1911480155747407,2275.090482461267,1.811964228750136,1.8218329517229237,1.872911063717971,1.9519175205787733,2.0596796461509377,1.0,1.4716490997507874,1.8339549865850633,3.1202227504857767,2548.8624916136127,1535.6896511972016,3898.289114577512,9
