,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
69,50.0,379.0999765543226,223.66898616705032,710.378076648779,301.67360621556327,193.78413547270745,466.4212086727079,1.0,1.0,6.086136174638526,1.0,1.0,6.790379275521477,9,Alpha,781,4000,11-Dec-20,0.8,1.0,1.0,0.0,06 December 2020 to 12 December 2020,567300.0,533600.0,602300.0,modelled weekly estimates,0.9,2020-12-09,630333.3333333334,752875.0,533600.0,True,365800.0,417300.0,315050.0,1705301.153612629,2435307.72113943,1195760.9538435997,True,0.47525,1.092671944024965,0.9712639502444136,1.2140799378055167,246743.15696884049,294711.9317338695,208877.02045252235,True,924805.107385652,1294650.0384978182,664098.3805667192,True,290.55650803623746,171.42833974138009,544.4605278338532,231.2140200729685,148.5234639884048,357.48279094542187,0.7664376840039254
70,51.0,394.544859088194,231.623263742273,743.7213479712327,358.7676454790732,243.77548897262116,989.3721454568148,1.0000020447334663,1.0,7.211302445741046,1.5604645661814311,1.0,8.067355493072142,9,Alpha,1537,5425,18-Dec-20,1.1,1.3,1.0,0.0,12 December 2020 to 18 December 2020,645800.0,610100.0,683100.0,modelled weekly estimates,1.2000000000000002,2020-12-16,538166.6666666666,621000.0,469307.6923076923,True,551100.0,609750.0,493350.0,1848572.326313616,2490591.888811074,1371126.991768296,True,0.6442396313364055,1.405961470285697,1.2887980144285556,1.5231249261428383,295918.4605766669,341465.52620274416,258055.39147317503,True,1430322.6952889853,1888144.435666588,1086168.440750529,True,306.4251886905276,179.8913372268184,577.6148114359701,278.63864128415133,189.3294222086502,768.400701145591,0.7766548762001011
71,52.0,570.6965319148566,329.2628025429218,1046.5799017502916,617.2521902493318,375.4145010686423,1094.9243415678604,1.0,1.0,2.859802206882379,1.0,1.0,3.273312255727603,9,Alpha,661,2402,,,,,,,,,,,,2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,393.35808925518273,226.9475625452256,721.3652920301802,425.4470258131474,258.75806590862624,754.6871634789946,0.6892596454640251
72,53.0,1014.7134507585264,504.9143720422989,1805.205660991984,1293.156155778761,820.2471687502368,2657.510662532479,1.5148263716965178,1.0,8.726741486992106,1.0,1.0,7.791422177118936,9,Alpha,1607,4639,,,,,,,,,,,,2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,522.140414783526,259.8134472852944,928.9034573212034,665.4184893808739,422.0740314382423,1367.4734661190182,0.5145693243675953
73,54.0,1734.0559939748407,963.8491152666508,2937.7529975729544,1711.3091367097982,1402.648409816126,2229.8057677633137,1.0527267334659869,1.0,2.8850031161445955,1.0,1.0,3.039336055279695,9,Alpha,1906,5290,,,,,,,,,,,,2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,934.7032591957144,519.540840978008,1583.5286236917564,922.4420855681208,756.0655738431947,1201.925846537578,0.5390271493212669
74,55.0,2172.198925813861,1238.8147491436248,3515.636425034804,2221.917097743025,1781.5039337751111,3004.556880234425,1.4401922108226004,1.0,4.690692666035613,1.329149282913904,1.0,4.724896666078116,9,Alpha,3399,8404,15-Jan-21,1.1,1.3,1.0,0.0,10 January 2021 to 16 January 2021,1023700.0,978900.0,1070000.0,modelled weekly estimates,1.2000000000000002,2021-01-13,853083.3333333333,972727.2727272728,753000.0,True,698300.0,760750.0,636000.0,2413861.4828563053,3112626.9397932743,1874839.6908698776,True,0.831151832460733,1.2806834502440687,1.1739598293903963,1.387407071097741,664371.9263553378,757549.311712641,586428.1260668978,True,2128870.669806514,2718719.159570845,1671792.317410917,True,1590.5437632144149,907.0942120506636,2574.2456287577115,1626.9487753615986,1304.4661505604486,2200.019137422837,0.7322274881516587
75,56.0,2532.791783278853,1468.0176031020642,4570.851541075527,2628.4026510294075,1901.9500705976989,3861.8173151939977,1.0,1.0,1.8422287825926809,1.0,1.0,1.7561804507219634,9,Alpha,3906,8604,22-Jan-21,0.8,1.0,1.0,0.0,17 January 2021 to 23 January 2021,1018700.0,976200.0,1061600.0,modelled weekly estimates,0.9,2021-01-20,1131888.8888888888,1327000.0,976200.0,True,420950.0,484700.0,356350.0,2260606.7891539326,3061672.41600082,1672654.0151657874,True,0.8929567642956764,0.9432898064096392,0.8384798279196792,1.048099784899599,964343.1420618712,1130573.293967304,831699.81128175,True,2077576.053946999,2797265.409794072,1547854.451867884,True,1713.384950725182,993.0856871694948,3092.0931969935937,1778.0638647247777,1286.6326594656412,2612.445173735323,0.6764807758919293
76,57.0,3300.414250046157,1970.1804665300808,5599.80275271113,3277.2029291256795,2561.593885281977,4467.266590167687,1.0,1.0,2.131490847699669,1.0,1.0,2.1850807833890133,9,Alpha,6142,13031,29-Jan-21,0.7,1.0,1.0,0.0,24 January 2021 to 30 January 2021,846900.0,806500.0,886700.0,modelled weekly estimates,0.85,2021-01-27,996352.9411764706,1266714.2857142857,806500.0,True,261800.0,321350.0,202550.0,1707564.1821730465,2585040.8334071385,1148282.285440397,True,0.9354615915892872,0.8610019125509857,0.7090603985714,1.0129434265305717,920140.141814207,1169821.068745945,744809.3880235968,True,1670221.9546935132,2514795.934048281,1130569.9915850358,True,2710.046032591377,1617.7604846828551,4598.126805768952,2690.9866832473163,2103.38364216603,3668.175320429136,0.8211229946524065
77,58.0,3775.800782591145,2251.9231740895843,6565.489321772921,3628.554787779428,2835.9671079782147,4814.039866685323,2.83630201358963,1.0,4.091594655962659,2.4947958044178584,1.0,4.071378771760204,9,Alpha,3228,6147,05-Feb-21,0.7,0.9,1.0,0.0,31 January 2021 to 06 February 2021,695400.0,660200.0,732200.0,modelled weekly estimates,0.8,2021-02-03,869250.0,1046000.0,733555.5555555555,True,164900.0,219050.0,112550.0,1330378.3613747484,1958013.940580777,906161.8903456858,True,0.960143159264682,0.8328820185427614,0.7287717662249162,0.9369922708606068,801654.4217401422,964659.7930862108,676511.9985080905,True,1265641.5472329883,1855893.219137056,865856.396901913,True,2988.0571037519526,1782.105419456038,5195.734133533462,2871.530976943367,2244.3005208516,3809.688818254529,0.7913704339298848
78,59.0,3793.1594738129297,2360.646544806417,5966.890069077751,3819.170379886902,2949.4229866582805,4911.638064421641,1.1693025037141085,1.0,2.2475773032446984,1.0173032444863372,1.0,2.290851684280737,9,Alpha,4622,8528,12-Feb-21,0.7,0.9,1.0,0.0,06 February 2021 to 12 February 2021,481300.0,451600.0,512400.0,modelled weekly estimates,0.8,2021-02-10,601625.0,732000.0,501777.77777777775,True,79800.0,126750.0,32900.0,817663.6453355496,1292271.0442237123,509021.2724434036,True,0.9704502814258912,0.8243595940067666,0.7213146447559207,0.9274045432576123,566594.6315734241,689378.384062741,472561.1388019638,True,783749.718640592,1235662.5257608755,489468.16687022505,True,2673.781163331304,1664.009200868577,4206.034146603228,2692.116134792933,2079.0350837783394,3462.191723922041,0.7048955314930608
