,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
48,0.0,4.0,8.0,48,470.4212816899678,327.85226367429345,680.4412293289633,9,1
49,0.0,4.0,8.0,49,508.36466210163314,347.1086710682394,739.3334176606153,9,1
50,0.0,4.0,8.0,50,533.7141701483018,365.3820439522481,773.8197873923565,9,1
51,0.0,4.0,8.0,51,608.159407521899,412.02607127321676,893.5981337269159,9,1
52,0.0,4.0,8.0,52,423.4481204936692,307.323873014658,610.683167018425,9,1
53,0.0,4.0,8.0,53,471.4749627306044,329.9572523365543,664.128484107573,9,1
54,0.0,4.0,8.0,54,441.6558160809995,306.50635660211947,629.0948717923327,9,1
55,0.0,4.0,8.0,55,422.6176076706997,299.511721876883,616.3688953705134,9,1
56,0.0,4.0,8.0,56,505.95666852426564,342.00607802107317,749.2646543522374,9,1
57,0.0,4.0,8.0,57,468.52500857908495,330.3256774276948,685.2947413776131,9,1
58,0.0,4.0,8.0,58,502.8255122750333,348.2504126702135,713.8686644491642,9,1
59,0.0,4.0,8.0,59,685.9761577000965,436.45006497702843,1098.3232139387178,9,1
60,0.0,4.0,8.0,60,386.02921833159434,260.55820558200486,567.2223236341777,9,1
61,0.0,4.0,8.0,61,406.76845517908976,290.63562772270313,574.1774790545104,9,1
62,0.0,4.0,8.0,62,387.41129116635904,272.69902880503594,540.6795795713936,9,1
63,0.0,4.0,8.0,63,402.0807289097623,278.2397506115521,579.716932601096,9,1
64,0.0,4.0,8.0,64,463.82002101736583,311.4236880342923,695.8807763254397,9,1
65,0.0,4.0,8.0,65,427.6225875222921,288.0504208945104,612.7784458289932,9,1
66,0.0,4.0,8.0,66,685.2591341858675,444.6045673398677,1040.1434797552474,9,1
67,0.0,4.0,8.0,67,528.0007659720585,358.08302721598204,783.9797845318519,9,1
68,0.0,4.0,8.0,68,395.6027077385342,271.60166167162697,572.3629062657286,9,1
69,0.0,4.0,8.0,69,506.9464227465508,341.38101094804813,749.2524199824938,9,1
70,0.0,4.0,8.0,70,531.3745104998458,359.05642545536284,792.7368195365418,9,1
71,0.0,4.0,8.0,71,400.07740898619835,276.5655364386155,573.7626210459943,9,1
72,0.0,4.0,8.0,72,448.6238901428903,301.12230949451487,646.8583726106577,9,1
73,0.0,4.0,8.0,73,340.1225885379771,238.33647416354856,477.33918762372105,9,1
74,0.0,4.0,8.0,74,385.14404475176605,266.0249207743209,552.2155428243836,9,1
75,0.0,4.0,8.0,75,455.36808521320785,314.9905847487798,646.8658930015661,9,1
76,0.0,4.0,8.0,76,447.5002398246305,304.8347024988389,655.3433142684759,9,1
77,0.0,4.0,8.0,77,471.5372820978873,322.78904872092795,684.9244714431607,9,1
78,0.0,4.0,8.0,78,483.0608882907324,331.9179741418122,695.8342812657721,9,1
79,0.0,4.0,8.0,79,726.6798995845927,465.7834110967932,1171.4976805655554,9,1
80,0.0,4.0,8.0,80,452.2776345623036,310.3767856152694,665.9432153266341,9,1
81,0.0,4.0,8.0,81,507.2806237833452,346.4900735504652,730.9841516694474,9,1
82,0.0,4.0,8.0,82,372.4380617043309,256.2206772273813,538.2098067527947,9,1
83,0.0,4.0,8.0,83,416.0174618280721,291.66933015996443,586.4546508061428,9,1
84,0.0,4.0,8.0,84,588.7943425314091,395.11206429482417,885.6517107876875,9,1
85,0.0,4.0,8.0,85,368.20663525261955,258.0452229660214,533.8789132671407,9,1
86,0.0,4.0,8.0,86,501.6979864712716,347.96306550671255,726.7308927123502,9,1
87,0.0,4.0,8.0,87,466.3436226865132,310.79052475986185,710.8326855219865,9,1
88,0.0,4.0,8.0,88,483.18453886639685,327.05091115864724,718.024953199147,9,1
89,0.0,4.0,8.0,89,524.4900747413602,354.41704439034345,773.9987414786385,9,1
90,0.0,4.0,8.0,90,568.3808807175432,384.78037563019126,845.4171038428354,9,1
91,0.0,4.0,8.0,91,426.07269680485246,298.90581080260415,598.4414352865253,9,1
92,0.0,4.0,8.0,92,434.75937554296365,296.026903588289,626.4134772094297,9,1
93,0.0,4.0,8.0,93,456.6390964429919,321.0036018029105,656.3946525496481,9,1
94,0.0,4.0,8.0,94,435.12180380944375,304.8339776940997,617.4558406941815,9,1
95,0.0,4.0,8.0,95,368.92056610313773,258.4376029845816,519.5611041152262,9,1
96,0.0,4.0,8.0,96,505.5626404042907,349.2562489140992,733.7709264855267,9,1
97,0.0,4.0,8.0,97,508.04006473743755,341.03968163528134,756.9980720069586,9,1
