,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,T,delta_t
81,85.0,519.3427012964037,448.4208880818328,616.987791329887,9,1
82,86.0,490.1206125946267,410.11010708699257,571.6403604389585,9,1
83,87.0,503.8626884014444,421.93769351541897,602.14822658021,9,1
84,88.0,506.0787546732038,437.1946345344249,580.9799222292024,9,1
85,89.0,455.14322321021393,380.5119064758316,541.0871970164643,9,1
86,90.0,468.3676092948357,405.1742066308592,558.2785039170479,9,1
87,91.0,442.457877507422,375.49897631696535,525.1167776577062,9,1
88,92.0,444.0075826846044,371.79817806270415,530.1330108937005,9,1
89,93.0,501.1467036317418,426.2494311612179,587.8918865847256,9,1
90,94.0,483.864101865022,406.3373218748377,582.378787371584,9,1
91,95.0,501.1759116854875,426.2494311612179,587.9869954549456,9,1
