,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
269,30.0,33.0,36.0,9,,,,,,,,,,,,,,,,,,,7
270,30.0,33.0,36.0,10,,,,,,,,,,,,,,,,,,,7
271,30.0,33.0,36.0,11,,,,,,,,,,,,,,,,,,,7
272,30.0,33.0,36.0,12,,,,,,,,,,,,,,,,,,,7
273,30.0,33.0,36.0,13,,,,,,,,,,,,,,,,,,,7
274,30.0,33.0,36.0,14,,,,,,,,,,,,,,,,,,,7
275,30.0,33.0,36.0,15,,,,,,,,,,,,,,,,,,,7
276,30.0,33.0,36.0,16,,,,,,,,,,,,,,,,,,,7
277,30.0,33.0,36.0,17,,,,,,,,,,,,,,,,,,,7
278,30.0,33.0,36.0,18,,,,,,,,,,,,,,,,,,,7
279,30.0,33.0,36.0,19,,,,,,,,,,,,,,,,,,,7
280,31.0,34.0,37.0,0,,,,,,,,,,,,,,,,,,,7
281,31.0,34.0,37.0,1,,,,,,,,,,,,,,,,,,,7
282,31.0,34.0,37.0,2,,,,,,,,,,,,,,,,,,,7
283,31.0,34.0,37.0,3,,,,,,,,,,,,,,,,,,,7
284,31.0,34.0,37.0,4,,,,,,,,,,,,,,,,,,,7
285,31.0,34.0,37.0,5,,,,,,,,,,,,,,,,,,,7
286,31.0,34.0,37.0,6,,,,,,,,,,,,,,,,,,,7
287,31.0,34.0,37.0,7,,,,,,,,,,,,,,,,,,,7
288,31.0,34.0,37.0,8,,,,,,,,,,,,,,,,,,,7
289,31.0,34.0,37.0,9,,,,,,,,,,,,,,,,,,,7
290,31.0,34.0,37.0,10,,,,,,,,,,,,,,,,,,,7
291,31.0,34.0,37.0,11,,,,,,,,,,,,,,,,,,,7
292,31.0,34.0,37.0,12,,,,,,,,,,,,,,,,,,,7
293,31.0,34.0,37.0,13,,,,,,,,,,,,,,,,,,,7
294,31.0,34.0,37.0,14,,,,,,,,,,,,,,,,,,,7
295,31.0,34.0,37.0,15,,,,,,,,,,,,,,,,,,,7
296,31.0,34.0,37.0,16,,,,,,,,,,,,,,,,,,,7
297,31.0,34.0,37.0,17,,,,,,,,,,,,,,,,,,,7
298,31.0,34.0,37.0,18,,,,,,,,,,,,,,,,,,,7
299,31.0,34.0,37.0,19,,,,,,,,,,,,,,,,,,,7
300,32.0,35.0,38.0,0,,,,,,,,,,,,,,,,,,,7
301,32.0,35.0,38.0,1,,,,,,,,,,,,,,,,,,,7
302,32.0,35.0,38.0,2,,,,,,,,,,,,,,,,,,,7
303,32.0,35.0,38.0,3,,,,,,,,,,,,,,,,,,,7
304,32.0,35.0,38.0,4,,,,,,,,,,,,,,,,,,,7
305,32.0,35.0,38.0,5,,,,,,,,,,,,,,,,,,,7
306,32.0,35.0,38.0,6,,,,,,,,,,,,,,,,,,,7
307,32.0,35.0,38.0,7,,,,,,,,,,,,,,,,,,,7
308,32.0,35.0,38.0,8,,,,,,,,,,,,,,,,,,,7
309,32.0,35.0,38.0,9,,,,,,,,,,,,,,,,,,,7
310,32.0,35.0,38.0,10,,,,,,,,,,,,,,,,,,,7
311,32.0,35.0,38.0,11,,,,,,,,,,,,,,,,,,,7
312,32.0,35.0,38.0,12,,,,,,,,,,,,,,,,,,,7
313,32.0,35.0,38.0,13,,,,,,,,,,,,,,,,,,,7
314,32.0,35.0,38.0,14,,,,,,,,,,,,,,,,,,,7
315,32.0,35.0,38.0,15,,,,,,,,,,,,,,,,,,,7
316,32.0,35.0,38.0,16,,,,,,,,,,,,,,,,,,,7
317,32.0,35.0,38.0,17,,,,,,,,,,,,,,,,,,,7
318,32.0,35.0,38.0,18,,,,,,,,,,,,,,,,,,,7
319,32.0,35.0,38.0,19,,,,,,,,,,,,,,,,,,,7
320,33.0,36.0,39.0,0,,,,,,,,,,,,,,,,,,,7
321,33.0,36.0,39.0,1,,,,,,,,,,,,,,,,,,,7
322,33.0,36.0,39.0,2,,,,,,,,,,,,,,,,,,,7
323,33.0,36.0,39.0,3,,,,,,,,,,,,,,,,,,,7
324,33.0,36.0,39.0,4,,,,,,,,,,,,,,,,,,,7
325,33.0,36.0,39.0,5,,,,,,,,,,,,,,,,,,,7
326,33.0,36.0,39.0,6,,,,,,,,,,,,,,,,,,,7
327,33.0,36.0,39.0,7,,,,,,,,,,,,,,,,,,,7
328,33.0,36.0,39.0,8,,,,,,,,,,,,,,,,,,,7
329,33.0,36.0,39.0,9,,,,,,,,,,,,,,,,,,,7
330,33.0,36.0,39.0,10,,,,,,,,,,,,,,,,,,,7
331,33.0,36.0,39.0,11,,,,,,,,,,,,,,,,,,,7
332,33.0,36.0,39.0,12,,,,,,,,,,,,,,,,,,,7
333,33.0,36.0,39.0,13,,,,,,,,,,,,,,,,,,,7
334,33.0,36.0,39.0,14,,,,,,,,,,,,,,,,,,,7
335,33.0,36.0,39.0,15,,,,,,,,,,,,,,,,,,,7
336,33.0,36.0,39.0,16,,,,,,,,,,,,,,,,,,,7
337,33.0,36.0,39.0,17,,,,,,,,,,,,,,,,,,,7
338,33.0,36.0,39.0,18,,,,,,,,,,,,,,,,,,,7
339,33.0,36.0,39.0,19,,,,,,,,,,,,,,,,,,,7
340,34.0,37.0,40.0,0,,,,,,,,,,,,,,,,,,,7
341,34.0,37.0,40.0,1,,,,,,,,,,,,,,,,,,,7
342,34.0,37.0,40.0,2,,,,,,,,,,,,,,,,,,,7
343,34.0,37.0,40.0,3,,,,,,,,,,,,,,,,,,,7
344,34.0,37.0,40.0,4,,,,,,,,,,,,,,,,,,,7
345,34.0,37.0,40.0,5,,,,,,,,,,,,,,,,,,,7
346,34.0,37.0,40.0,6,,,,,,,,,,,,,,,,,,,7
347,34.0,37.0,40.0,7,,,,,,,,,,,,,,,,,,,7
348,34.0,37.0,40.0,8,,,,,,,,,,,,,,,,,,,7
349,34.0,37.0,40.0,9,,,,,,,,,,,,,,,,,,,7
350,34.0,37.0,40.0,10,,,,,,,,,,,,,,,,,,,7
351,34.0,37.0,40.0,11,,,,,,,,,,,,,,,,,,,7
352,34.0,37.0,40.0,12,,,,,,,,,,,,,,,,,,,7
353,34.0,37.0,40.0,13,,,,,,,,,,,,,,,,,,,7
354,34.0,37.0,40.0,14,,,,,,,,,,,,,,,,,,,7
355,34.0,37.0,40.0,15,,,,,,,,,,,,,,,,,,,7
356,34.0,37.0,40.0,16,,,,,,,,,,,,,,,,,,,7
357,34.0,37.0,40.0,17,,,,,,,,,,,,,,,,,,,7
358,34.0,37.0,40.0,18,,,,,,,,,,,,,,,,,,,7
359,34.0,37.0,40.0,19,,,,,,,,,,,,,,,,,,,7
360,35.0,38.0,41.0,0,,,,,,,,,,,,,,,,,,,7
361,35.0,38.0,41.0,1,,,,,,,,,,,,,,,,,,,7
362,35.0,38.0,41.0,2,,,,,,,,,,,,,,,,,,,7
363,35.0,38.0,41.0,3,,,,,,,,,,,,,,,,,,,7
364,35.0,38.0,41.0,4,,,,,,,,,,,,,,,,,,,7
365,35.0,38.0,41.0,5,,,,,,,,,,,,,,,,,,,7
366,35.0,38.0,41.0,6,,,,,,,,,,,,,,,,,,,7
367,35.0,38.0,41.0,7,,,,,,,,,,,,,,,,,,,7
368,35.0,38.0,41.0,8,,,,,,,,,,,,,,,,,,,7
369,35.0,38.0,41.0,9,,,,,,,,,,,,,,,,,,,7
370,35.0,38.0,41.0,10,,,,,,,,,,,,,,,,,,,7
371,35.0,38.0,41.0,11,,,,,,,,,,,,,,,,,,,7
372,35.0,38.0,41.0,12,,,,,,,,,,,,,,,,,,,7
373,35.0,38.0,41.0,13,,,,,,,,,,,,,,,,,,,7
374,35.0,38.0,41.0,14,,,,,,,,,,,,,,,,,,,7
375,35.0,38.0,41.0,15,,,,,,,,,,,,,,,,,,,7
376,35.0,38.0,41.0,16,,,,,,,,,,,,,,,,,,,7
