,lineage,42,43,44,45,46,47,48,49,50
165,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,166,0.378043566914569,0.1277902948230835,0.0431954575346514,0.0146007301118136,0.0048878070906651,0.0016521493153196,0.0005584501914774,0.0001293863693101,0.0
167,167,43.56571735296062,20.1555928178209,26.95809760385973,17.773126733673468,15.14504730142339,25.741246164746656,30.704873119289992,19.77368923194,7.41056790068337
168,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,169,355.44293126940744,372.7727093538344,395.7071917510736,315.44821009613133,302.11029072166923,292.81964133471826,292.69669898888253,268.22590194446593,257.6184004279528
170,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171,256.1691099060463,289.84051992815336,288.0282004093936,248.21244388975032,270.047066221946,249.6874614897621,204.00010424185248,216.01133412541645,214.97542696479115
172,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,177,0.0007479421121675,0.0002068096964057,6.990464303924013e-05,0.0,0.0,0.0,0.0,0.0,0.0
178,178,91.56263132831712,61.05216693120548,65.47010232549738,85.63792196376616,55.59465981067155,41.88866938314485,20.616602953544835,7.422286923208569,2.536607019137884
179,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,181,91.72695444488426,71.65086049761322,102.48079193852384,124.07211243574544,74.7190635447265,52.70164035872191,63.02170281593506,45.23505768309937,27.346532292995093
182,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,184,23.47474854356011,9.987998887089256,3.5058514521342947,1.192896877990447,0.4035435925129591,0.4716662428073621,9.908927139388608,21.179198127888395,9.45971265402891
185,185,141.87239280043136,131.3006319926548,148.16047408978324,96.33729514116898,81.56339129043934,75.20949616243198,112.49747080340654,132.71003753549095,90.32183778254604
186,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,187,177.3431748940833,199.34712816819788,221.077402814052,300.8588034106669,245.63773243439525,204.5219000703128,172.21166900357284,129.66759553911442,126.57095060422104
188,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,197,2.770381381897932,0.9406039578670752,0.3182073340152748,0.1075770049171534,0.0363437089275927,0.0122848099510508,0.0040944754340789,0.0013839924506139,0.0004284077266658
198,198,395.98607130575294,392.666551228398,309.1782808783902,337.6747645669199,414.3515335947149,315.8366846238622,400.3840785185288,446.50678478780645,453.5339061526832
199,199,159.45401021805694,156.03385336018326,183.8546422995137,245.04766115358635,263.4137795830704,287.3030893179227,305.707311193532,279.64143193292216,284.914249206951
