,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
16,25-Sep-20,39.0,1.2,1.5,1.0,0.0,18 September 2020 to 24 September 2020,116600,101000,133100,modelled weekly estimates,1.35,2020-09-23,33931.21693121693,43574.40476190476,26452.38095238095,True,89485.71428571428,106907.14285714286,72319.48051948051,105998.10729922396,186715.4982457976,59109.88258076069,True,0.5985823050669467,1.348639853858532,1.1987909812075839,1.49848872650948,20331.109956087428,26109.173045022653,15849.896183605037,True,61559.19829205671,109263.55024072665,33956.357815009666,True
17,02-Oct-20,40.0,1.2,1.6,1.0,0.0,25 September 2020 to 01 October 2020,224400,203800,245700,modelled weekly estimates,1.4,2020-09-30,62969.38775510204,80437.50000000001,50040.178571428565,True,169521.42857142855,189946.7532467532,149542.20779220777,194045.23295287497,304872.4574978406,124767.23518465726,True,0.5901870808330392,1.3970319044513517,1.1974559181011586,1.596607890801545,37242.676156255344,47574.03351243581,29595.812056881612,True,103761.92043778888,163543.0316273358,66450.12418999602,True
18,09-Oct-20,41.0,1.2,1.5,1.0,0.0,02 October 2020 to 08 October 2020,336500,312200,362000,modelled weekly estimates,1.35,2020-10-07,97923.28042328042,118511.90476190478,81766.66666666666,True,228309.74025974027,252204.54545454544,204962.33766233764,275879.9711954706,395591.14466337895,193503.4016351033,True,0.4346255718757524,1.349678663848772,1.199714367865575,1.499642959831969,42570.094576398355,51520.567655982864,35546.345242426185,True,108983.33451101548,158060.52986736555,75417.23723483454,True
19,16-Oct-20,42.0,1.2,1.4,1.0,0.0,10 October 2020 to 16 October 2020,433300,407500,459300,modelled weekly estimates,1.2999999999999998,2020-10-14,130942.30769230772,150366.07142857145,114349.48979591836,True,285974.02597402595,312284.41558441555,259665.5844155844,360820.635960779,478291.5289293153,271942.7238052177,True,0.3916112119378907,1.2988495577792825,1.1989380533347223,1.3987610622238427,51323.895175437654,58937.19626567827,44820.20617386189,True,135957.52422438364,180814.39614771548,102068.56664648464,True
20,23-Oct-20,43.0,1.2,1.4,1.0,0.0,17 October 2020 to 23 October 2020,568100,536500,600400,modelled weekly estimates,1.2999999999999998,2020-10-21,171678.57142857145,196559.52380952385,150548.46938775512,True,349601.29870129866,380526.6233766234,319164.935064935,447990.9129341178,587160.356196451,342194.7992195881,True,0.3719101123595505,1.2932412461769711,1.1937611503172043,1.3927213420367384,64182.685227537804,73484.52366631138,56283.116418068035,True,160386.3551533854,210553.55845755304,122283.09956421949,True
21,30-Oct-20,44.0,1.1,1.3,1.0,0.0,25 October 2020 to 31 October 2020,618700,583100,655000,modelled weekly estimates,1.2000000000000002,2020-10-28,202550.5952380952,233928.57142857145,176211.53846153847,True,355879.87012987013,390122.7272727272,322125.974025974,502583.42934329936,669011.3892875416,378062.85985085176,True,0.3305760709010339,1.168404987567144,1.0710379052698822,1.265772069864406,68769.01140782986,79422.31213035289,59826.50055611233,True,161096.39775724756,215359.00752251767,120584.35358075699,True
22,06-Nov-20,45.0,1.1,1.3,1.0,0.0,31 October 2020 to 06 November 2020,654000,619400,689800,modelled weekly estimates,1.2000000000000002,2020-11-04,214107.1428571428,246357.14285714284,187181.3186813187,True,366584.4155844156,401561.68831168825,332133.11688311683,521402.9981556544,686765.0345464149,396657.7347542324,True,0.3013042321000798,1.1604331067533311,1.0637303478572202,1.257135865649442,66711.0111460408,76759.39197421007,58321.52477608704,True,152842.67984932047,202036.38546076714,115807.8918426038,True
23,13-Nov-20,46.0,1.1,1.2,1.0,0.0,08 November 2020 to 14 November 2020,664700,628300,701200,modelled weekly estimates,1.15,2020-11-11,227071.4285714286,250428.5714285714,205693.4523809524,True,358063.6363636363,392929.8701298701,323294.80519480514,537603.0103033197,680475.7581173726,422781.1594244532,True,0.2636895878773964,1.063368384278295,1.0171349762661954,1.109601792290395,64754.4427214422,71415.2488774383,58658.03973743099,True,143072.07976235336,182007.91322195934,111848.73956538546,True
24,20-Nov-20,47.0,1.0,1.1,1.0,0.0,15 November 2020 to 21 November 2020,633000,599200,668200,modelled weekly estimates,1.05,2020-11-18,236836.73469387757,262507.14285714284,214000.0,True,314544.1558441558,348251.29870129866,281707.79220779217,530689.5788341098,677385.6611760397,414759.5557213445,True,0.235022026431718,0.9512949349915585,0.9059951761824366,0.9965946938006803,61437.246891056144,68096.34564175972,55513.22454972984,True,127207.72689851881,163189.7847511373,98856.97156853988,True
25,27-Nov-20,48.0,0.9,1.0,1.0,0.0,22 November 2020 to 28 November 2020,521300,490600,552600,modelled weekly estimates,0.95,2020-11-25,215575.1879699248,241214.2857142857,192735.7142857143,True,251881.1688311688,283075.32467532466,221014.2857142857,474226.54455434985,621354.9436536491,360008.7772063998,True,0.1943641618497109,0.7915469630707178,0.7498865965933117,0.833207329548124,50287.71260100667,56268.60303120504,44959.89681939608,True,99152.36058714954,131227.95409490165,74371.28270849971,True
26,04-Dec-20,49.0,0.8,1.0,1.0,0.0,29 November 2020 to 05 December 2020,481500,450800,513600,modelled weekly estimates,0.9,2020-12-02,210178.57142857145,252214.28571428568,177100.0,True,272493.50649350643,304081.16883116885,241819.4805194805,515384.15716248064,728330.9268118752,366943.3684319249,True,0.1702302631578947,0.6953448907676094,0.6180843473489862,0.7726054341862327,46309.21805788359,55571.06166946031,39020.926169147526,True,101833.82723479779,144959.72199865786,71892.37012007574,True
27,11-Dec-20,50.0,0.8,1.0,1.0,0.0,06 December 2020 to 12 December 2020,567300,533600,602300,modelled weekly estimates,0.9,2020-12-09,247630.9523809524,295772.3214285714,209628.57142857145,True,344643.50649350643,378305.8441558441,311733.11688311683,639904.5988791514,884948.0982877883,466098.3410908528,True,0.1364270065723959,0.6427482023676265,0.5713317354378903,0.7141646692973628,47304.98583925062,56501.440317915076,40045.384099139286,True,100656.09261461081,140639.89796024753,72436.67515838041,True
28,18-Dec-20,51.0,1.1,1.3,1.0,0.0,12 December 2020 to 18 December 2020,645800,610100,683100,modelled weekly estimates,1.2000000000000002,2020-12-16,211422.619047619,243964.28571428568,184370.8791208791,True,450054.5454545454,487542.8571428571,413481.8181818181,608781.1459728461,802213.1611794269,463502.5652140277,True,0.0784033078880407,0.8270361589915866,0.758116479075621,0.895955838907552,24051.523042326924,27753.47626376901,20974.10611733615,True,42823.01669842635,58258.9016407911,31425.13452273171,True
29,15-Jan-21,55.0,1.1,1.3,1.0,0.0,10 January 2021 to 16 January 2021,1023700,978900,1070000,modelled weekly estimates,1.2000000000000002,2021-01-13,335139.8809523809,382142.8571428571,295821.4285714286,True,638288.9610389611,680386.3636363636,596752.5974025974,883358.4631370162,1117818.9885163128,701178.2937433774,True,0.0268751526997312,0.7533432060259229,0.6905646055237625,0.816121806528083,14347.142823062839,16359.31281786451,12663.942810315115,True,23827.885117976424,31452.29206467877,18020.24103125505,True
