,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
30,49.0,,,,,,,1.0,1.0,4.173656775501767,1.0,1.0,2.5300269677308598,9,pre-B.1.177,21,126,04-Dec-20,0.7,0.9,1.0,0.0,Interpolated,Interpolated,98107.181345,86065.144645,111565.92824,0.8,2020-12-02,48177.63369620535,62613.53115510205,37568.118694246026,True,44253.79491136364,57059.38320779221,32220.957628246742,101443.8640834176,185419.25869871027,54742.92563937736,True,0.1666666666666666,0.7548495802070883,0.6604933826812022,0.8492057777329742,8509.886818861423,11059.780702785738,6635.868421880721,True,17798.393986490446,32368.855743620134,9671.5225201241,True,,,,,,,
31,50.0,308.5092710406713,138.77774064503973,1594.6079155843918,5048.348905507981,5048.348905507981,5048.348905507981,1.0,1.0,5.5049871154225,1.0,1.0,4.231026758329119,9,pre-B.1.177,89,612,11-Dec-20,0.7,0.9,1.0,0.0,03 December 2020 to 16 December 2020,Non-overlapping 14-day weighted estimates,76502.35079,65877.02429,88544.38748,0.8,2020-12-09,37568.11869151785,49693.278687755104,28755.84393611111,True,40741.91751564935,52850.64998152597,29405.936060357133,88237.48632882064,170322.08890733312,44757.0640308649,True,0.1454248366013072,0.7864693446088796,0.6881606765327696,0.8847780126849896,5557.330425739079,7350.966170913018,4253.759091216773,True,10350.30611763094,20482.98867334719,5062.2515533635815,True,,,,,,,
32,51.0,198.47208144766185,55.662517692682485,523.8388395252161,457.4573437232558,143.6575944333147,1833.6973071654047,1.0,1.0,2.144380625639486,1.0,1.0,1.121724570211754,9,pre-B.1.177,31,416,18-Dec-20,0.9,1.1,1.0,0.0,Interpolated,Interpolated,93502.873195,81106.658935,107315.79764,1.0,2020-12-16,36733.27161232143,46844.197382539685,28966.66390535714,True,70658.42122441558,84643.83473824676,57597.5491012987,113227.32137630884,198314.9486322127,64026.17904373892,True,0.0745192307692307,0.8819045385246862,0.7937140846722176,0.9700949923771548,3103.890528522082,3958.2442344480046,2447.627172651897,True,5658.470693242717,10733.03815312365,2847.987741372909,True,,,,,,,
33,52.0,226.99969799709987,69.24980743661186,626.2997005428001,,,,1.0,1.0,3.404339740878535,1.0,1.0,2.2949260416487283,9,pre-B.1.177,42,463,,,,,,,,,,,,2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,53.0,,,,,,,1.0,1.0,3.241982276945274,1.0,1.0,3.0151762018116086,9,pre-B.1.177,30,769,,,,,,,,,,,,2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,54.0,,,,,,,1.0,1.0,3.7966232225247296,1.0,1.0,2.663183019714685,9,pre-B.1.177,46,1529,,,,,,,,,,,,2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,55.0,,,,,,,1.0,1.0,11.474193228736368,1.0,1.0,8.576127862666924,9,pre-B.1.177,103,3628,15-Jan-21,1.2,1.5,1.0,0.0,Interpolated,Interpolated,168234.33625,150879.6363,187714.1015,1.35,2021-01-13,48957.081977513226,61454.02132440476,39516.09522142857,True,109523.65770301947,127207.23680873374,93302.78588493507,133450.2464328419,215192.41329122224,83190.7980710712,True,0.0283902976846747,0.883642235323258,0.7854597647317849,0.9818247059147313,2123.453590149318,2665.4930592137503,1713.9623293963134,True,4034.9280367982897,6954.483109886346,2297.735924521612,True,,,,,,,
37,56.0,,,,,,,1.0,1.0,3.4855707413833485,1.0,1.0,3.041219352537088,9,pre-B.1.177,41,2228,22-Jan-21,0.9,1.2,1.0,0.0,14 January 2021 to 27 January 2021,Non-overlapping 14-day weighted estimates,176380.4199,158671.5424,196922.7178,1.05,2021-01-20,65992.6741122449,85958.3291984127,51946.04066666668,True,90591.25775649352,109309.77125941556,73494.14147707792,151190.79957205435,257985.69742903937,89609.41497748338,True,0.0184021543985637,0.6626304161356897,0.5679689281163055,0.757291904155074,1924.3423121643968,2506.539584653224,1514.7433461213727,True,3752.2247512230792,6627.62670570314,2124.4878273363443,True,,,,,,,
38,37.0,,,,,,,1.0,1.0,3.1711767209686506,1.0,1.0,3.11963817865866,9,B.1.177,42,358,11-Sep-20,1.1,1.3,1.0,0.0,Interpolated,Interpolated,31875.979495,21604.830545,44980.54884,1.2000000000000002,2020-09-09,10435.588525148807,16064.481728571429,6528.932307554945,True,23913.88418289935,35160.171319782465,13681.83275561688,31966.89609490589,106168.96555265524,8365.419767344622,False,0.4106145251396648,1.2000000000000002,1.1,1.3,4285.004226806913,6596.309536592178,2680.874439135689,True,14033.495514028671,45272.90547762546,3967.052022754938,True,,,,,,,10.5
39,38.0,,,,,,,1.0,1.0,4.208516584893099,1.0,1.0,4.1097312046043415,9,B.1.177,161,719,18-Sep-20,1.2,1.5,1.0,0.0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,43918.01619,32584.33459,56668.40799,1.35,2020-09-16,12780.375081746031,18552.157377678574,8533.992392619048,True,33214.49465103896,45406.02187538961,21568.03287594156,39421.49666961499,104683.55842899709,13553.057442484534,True,0.4408901251738525,1.35,1.2,1.5,5634.741169559794,8179.462988489718,3762.552974214517,True,19508.85693303598,50987.50966932244,6914.328241348823,True,,,,,,,17.88888888888889
