,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
33,14-May-21,72,0.8,1.1,1,0,06 May 2021 to 19 May 2021,Non-overlapping 14-day weighted estimates,1642.119411,0.0,4378.985096,0.9500000000000001,2021-05-12,679.0719368796991,2150.394466785714,0.0,False,1423.525593301948,4030.6567360909094,-351.88273092857145,2366.7372146530874,inf,10.098675313638848,False
34,21-May-21,73,0.8,1.1,1,0,Interpolated,Interpolated,3010.5522535,547.373137,7663.223918000001,0.9500000000000001,2021-05-19,1244.9652176127818,3763.190316875,195.49040607142857,True,2228.590629214286,6525.825191766233,-405.19829622077924,3770.382096045727,180620.8037187079,0.9420543385848185,False
35,28-May-21,74,0.9,1.1,1,0,20 May 2021 to 02 June 2021,Non-overlapping 14-day weighted estimates,4378.985096,1094.746274,10947.46274,1.0,2021-05-26,1720.3155734285715,4778.654370634921,390.98081214285713,True,4558.480832269481,10721.760180155843,538.487209022727,7166.217498754716,187225.64842981417,87.02119495037272,False
36,18-Jun-21,77,1.0,1.5,1,0,Interpolated,Interpolated,13136.955287,7389.5373475,22715.985184999998,1.25,2021-06-16,4128.757375914286,8924.137036964285,1935.3550195833332,True,10449.8507962987,18841.720774207788,4265.245221428571,13309.697718332076,91816.45846561533,1566.1024519060852,False
37,25-Jun-21,78,1.3,1.7,1,0,17 June 2021 to 30 June 2021,Non-overlapping 14-day weighted estimates,19705.43293,12042.20901,31200.26881,1.5,2021-06-23,5160.946719761904,9428.652662362638,2782.8634266806725,True,14560.480880318179,24701.101401282467,6392.536276461039,15605.656750431554,78420.57944981515,2517.107011058619,False
38,02-Jul-21,79,1.3,1.6,1,0,Interpolated,Interpolated,30926.582239999996,21894.925479999998,43242.477825,1.4500000000000002,2021-06-30,8379.123266995071,13067.781760302198,5375.986166964284,True,21678.108848181815,32853.05133564935,12059.980869740257,24242.84992233301,79921.95760884165,6546.500023213625,False
39,09-Jul-21,80,1.3,1.6,1,0,01 July 2021 to 14 July 2021,Non-overlapping 14-day weighted estimates,42147.73155,31747.64195,55284.68684,1.4500000000000002,2021-07-07,11419.336134236451,16706.910858241758,7795.179943080357,True,26508.499063831165,38776.41063983766,15616.129076590909,30300.678837272775,84217.02799348868,9963.280632249685,True
40,16-Jul-21,81,1.2,1.5,1,0,Interpolated,Interpolated,47347.77635,35305.56734,62126.85105500001,1.35,2021-07-14,13778.453435185185,20339.14766681548,9246.696208095238,True,28054.650455844156,41863.3818712987,15738.754876168832,34943.945976827046,100275.61055400227,10983.959833366072,True
41,23-Jul-21,82,1.3,1.5,1,0,15 July 2021 to 28 July 2021,Non-overlapping 14-day weighted estimates,52547.82115,38863.49273,68969.01527,1.4,2021-07-21,14745.562057397961,20842.284834340662,10178.533810238094,True,31008.332772857146,46181.942661331166,17327.55872074675,37282.822871504206,103106.15296840595,11990.124343234538,True
42,30-Jul-21,83,1.2,1.5,1,0,Interpolated,Interpolated,58295.23909,44063.53753,75263.806345,1.35,2021-07-28,16964.223015608466,24639.93660104167,11540.45030547619,True,34260.58225714286,50201.93628409091,19812.064061688314,42763.70015324558,116956.5019159832,14198.001683372851,True
43,06-Aug-21,84,0.8,1.2,1,0,29 July 2021 to 11 August 2021,Non-overlapping 14-day weighted estimates,64042.65703,49263.58233,81558.59742,1.0,2021-08-04,25159.615261785715,40051.09694732143,16127.958500892859,True,36926.36052214285,53224.92883577922,22120.62803834415,62537.652224161095,181089.09820794174,20454.458133326767,True
44,13-Aug-21,85,0.8,1.1,1,0,Interpolated,Interpolated,67600.58241999999,53095.19429,84842.83624,0.9500000000000001,2021-08-11,27955.128068421047,41663.89279642857,18962.569389285713,True,38397.87012350648,54605.801975649345,23682.774102272724,68732.10756240782,179853.1329995501,24814.185396402896,True
45,20-Aug-21,86,0.9,1.2,1,0,12 August 2021 to 25 August 2021,Non-overlapping 14-day weighted estimates,71158.50781,56926.80625,88127.07506,1.05,2021-08-18,26623.931493537413,38468.167684920634,18636.752046130954,True,41276.91064987013,57511.50028480519,26535.156846915583,66469.86604173969,162640.30082273166,25877.43596653002,True
46,27-Aug-21,87,1.0,1.2,1,0,Interpolated,Interpolated,79095.41829999999,63768.970465000006,97158.73183,1.1,2021-08-25,28248.363678571422,38169.50179035714,20876.74628318453,True,46544.488503506494,63552.15383941557,31029.659003376622,71276.41579206091,159116.72716337687,30281.38170013091,True
47,03-Sep-21,88,1.0,1.4,1,0,26 August 2021 to 08 September 2021,Non-overlapping 14-day weighted estimates,87032.32879,70611.13468,106190.3886,1.2,2021-09-01,28492.726687202383,41717.65266428572,19814.34901734694,True,45888.707050714285,63082.97686724026,30069.97882733766,66459.98476899131,159418.50098685597,26786.589868880015,True
48,10-Sep-21,89,0.9,1.1,1,0,Interpolated,Interpolated,71705.88094999999,57747.86596,87853.3885,1.0,2021-09-08,28170.167516071426,38348.70132936508,20624.237842857143,True,32543.8210542857,47685.441602337654,18361.880686753244,59542.836885486046,138862.08123339305,23548.540982136095,True
49,17-Sep-21,90,0.9,1.1,1,0,09 September 2021 to 22 September 2021,Non-overlapping 14-day weighted estimates,56379.43311,44884.59724,69516.3884,1.0,2021-09-15,22149.0630075,30344.45525396825,16030.2133,True,31690.77200892857,45014.33177707792,19145.619498311687,54047.04632533968,127567.132987415,21063.21745499969,True
50,24-Sep-21,91,0.7,0.9,1,0,Interpolated,Interpolated,76084.866045,62947.91076,90863.94075000001,0.8,2021-09-22,37363.10386138393,50995.068788265315,27477.262633333332,True,49946.021568116885,63989.34147,36798.40316805194,102518.05932094257,213794.30049960478,47796.300982012435,True
51,01-Oct-21,92,0.8,1.1,1,0,23 September 2021 to 06 October 2021,Non-overlapping 14-day weighted estimates,95790.29898,81011.22428,112211.4931,0.9500000000000001,2021-09-29,39612.529653383455,55103.85821875,28932.580099999996,True,60459.85104516233,75926.69654006492,45947.3541677922,105397.52332567736,214562.2885417113,51301.342403236406,True
52,08-Oct-21,93,0.9,1.2,1,0,Interpolated,Interpolated,114400.98564,99074.53779,131643.23945,1.05,2021-10-06,42803.08986530612,57463.318807539676,32435.11653839286,True,70376.5461903896,86819.06651922077,55096.305162077915,111664.1879484637,210272.8090456562,59109.779726496505,True
53,15-Oct-21,94,0.9,1.1,1,0,07 October 2021 to 20 October 2021,Non-overlapping 14-day weighted estimates,133011.6723,117137.8513,151074.9858,1.0,2021-10-13,52254.58554642858,65945.4303095238,41834.94689285714,True,78240.59207454546,95306.90450766234,62309.901147077915,131809.78318576733,226210.34227563822,76124.67526778289,True
54,22-Oct-21,95,,,1,0,Interpolated,Interpolated,140948.5828,124253.7021,159285.58285,,2021-10-20,,,,False,80282.57823506494,97674.11560519479,63552.15383571429,,,,False
55,29-Oct-21,96,,,1,0,21 October 2021 to 03 November 2021,Non-overlapping 14-day weighted estimates,148885.4933,131369.5529,167496.1799,,2021-10-27,,,,False,77163.61766629868,94469.85012272725,60395.87237970779,,,,False
56,05-Nov-21,97,0.9,1.2,1,0,Interpolated,Interpolated,122064.20957,106737.761725,138759.09019999998,1.05,2021-11-03,45670.28249217687,60569.444134920624,34943.91008854167,True,55085.64206298701,71112.30095844154,39922.695300974025,96191.92089836588,180127.71320668623,50747.89494630018,True
57,12-Nov-21,98,0.7,1.0,1,0,04 November 2021 to 17 November 2021,Non-overlapping 14-day weighted estimates,95242.92584,82105.97055,110022.0005,0.85,2021-11-10,44019.83967394958,61747.041096938774,32255.917001785714,True,46027.327514318175,60598.4714887987,32410.53214831169,96846.61544891179,198986.74718247188,46826.45374730455,True
58,19-Nov-21,99,0.8,1.0,1,0,Interpolated,Interpolated,94421.86613499999,81011.22428,109474.6274,0.9,2021-11-17,41215.89394781745,53759.86166964285,31825.838109999997,True,51150.953342922076,65460.85107370129,37736.75712564935,97967.0773693998,185504.84874873437,50602.69529732175,True
59,26-Nov-21,100,0.9,1.1,1,0,18 November 2021 to 01 December 2021,Non-overlapping 14-day weighted estimates,93600.80643,79916.47801,108927.2543,1.0,2021-11-24,36771.745383214286,47547.61100396825,28541.599289285714,True,,,,,,,False
