,lineage,s
568,568,-0.53026
569,569,-1.0857
570,570,-2.2807
571,571,-1.3874
572,572,-4.3772
573,573,-0.68081
574,574,-1.8295
575,575,-0.16766
576,576,-0.35241
577,577,-2.9282
578,578,-1.3393
579,579,-3.7431
580,580,-2.7576
581,581,-1.7972
582,582,-0.54613
583,583,-2.0692
584,584,-0.44442
585,585,-3.3793
586,586,-1.1191
587,587,-3.243
588,588,-3.8511
589,589,-0.34852
590,590,-3.3793
591,591,-1.8295
592,592,-0.73069
593,593,-2.6445
594,594,-5.4402
595,595,-0.44551
596,596,-0.80365
597,597,-2.1336
598,598,-1.6191
599,599,-6.5105
600,600,-4.4847
601,601,-3.2916
602,602,-4.6613
603,603,-3.3793
604,604,-2.1299
605,605,-3.2285
606,606,-2.5422
607,607,-3.6408
608,608,-2.9487
609,609,-4.901
610,610,-4.0995
611,611,-1.1461
612,612,-0.36321
613,613,-3.7431
614,614,-1.0504
615,615,-3.9997
616,616,-4.3772
617,617,-2.0314
618,618,-1.3048
619,619,-1.3187
620,620,-0.66365
621,621,-2.9487
622,622,-0.33679
623,623,-0.88072
624,624,-2.193
625,625,-4.9983
626,626,-3.6773
627,627,-5.3218
628,628,-0.32704
629,629,-0.061646
630,630,-3.7431
631,631,-0.79008
632,632,-0.75149
633,633,-1.3458
634,634,-0.26635
635,635,-1.6191
636,636,-3.6408
637,637,-3.3793
638,638,-0.60385
639,639,-1.5643
640,640,-1.028
641,641,-2.9565
642,642,-4.9983
643,643,-4.3772
644,644,-0.50795
645,645,-2.9487
646,646,-2.9282
647,647,-3.0524
648,648,-3.2786
649,649,-0.49431
650,650,-3.3793
651,651,-4.1967
652,652,-0.69856
653,653,-1.5985
654,654,-1.6191
655,655,-3.8997
656,656,-2.7052
657,657,-1.3187
658,658,-0.73094
659,659,-2.0692
660,660,-0.6545
661,661,-1.0609
662,662,-0.159
663,663,-3.2285
664,664,-0.92076
665,665,-3.6408
666,666,-1.035
667,667,-2.7969
668,668,-4.643
669,669,-0.33496
670,670,-0.059738
671,671,-5.7599
672,672,-2.9551
673,673,-3.293
674,674,-3.3793
675,675,-0.35241
676,676,-0.88471
677,677,-1.2847
678,678,-0.69856
679,679,-1.0313
680,680,-4.3772
681,681,-3.7431
682,682,-3.8038
683,683,-1.631
684,684,-2.9487
685,685,-0.48744
686,686,-1.035
687,687,-0.93517
688,688,-1.9052
689,689,-3.6408
690,690,-3.7431
691,691,-5.7599
692,692,-6.4515
693,693,-4.3772
694,694,-1.2847
695,695,-2.2807
696,696,-0.55565
697,697,-2.9487
698,698,-0.37579
699,699,-3.0009
700,700,-3.7431
701,701,-2.7052
702,702,-1.5649
703,703,-2.0314
704,704,-3.8038
705,705,-2.2508
706,706,-2.9487
707,707,-4.9983
708,708,-0.40693
709,709,-3.3793
710,710,-1.3905
711,711,-2.1299
712,712,-3.6408
713,713,-2.9282
714,714,-3.0066
715,715,-3.9246
716,716,-2.3996
717,717,-3.2285
718,718,-2.0314
719,719,-0.52177
720,720,-3.7431
721,721,-5.9511
722,722,-0.62189
723,723,-3.3793
724,724,-4.3772
725,725,-0.55565
726,726,-1.455
727,727,-2.7678
728,728,-1.0814
729,729,-1.8501
730,730,-0.21556
731,731,-1.2826
732,732,-3.7431
733,733,-0.66365
734,734,-3.2285
735,735,-2.9282
736,736,-0.17961
737,737,-3.014
738,738,-2.9282
739,739,-0.24934
740,740,-3.6408
741,741,-0.27091
742,742,-2.0916
743,743,-0.67129
744,744,-1.3347
745,745,-0.81115
746,746,-2.9487
747,747,-3.6408
748,748,-0.54613
749,749,-3.6408
750,750,-2.1299
751,751,-1.443
752,752,-4.3772
753,753,-3.2285
754,754,-1.6066
755,755,-1.3688
756,756,-1.6835
757,757,-0.55565
758,758,-2.1521
759,759,-1.7972
760,760,-3.7431
761,761,-4.9983
762,762,-1.035
763,763,-3.8038
764,764,-1.9008
765,765,-0.52421
766,766,-2.9487
767,767,-1.3874
768,768,-3.2786
769,769,-0.6545
770,770,-0.040376
771,771,-2.0314
772,772,-0.17253
773,773,-4.3772
774,774,-1.035
775,775,-1.1775
776,776,-2.5873
777,777,-0.48356
778,778,-1.9996
779,779,-0.29969
780,780,-2.0314
781,781,-1.035
782,782,-0.085376
783,783,-2.9282
784,784,-3.3793
785,785,-0.78246
786,786,-1.4436
787,787,-4.1505
788,788,-0.6545
789,789,-6.5105
790,790,-1.3187
791,791,-2.9487
792,792,-1.8295
793,793,-3.6408
794,794,-0.9625
795,795,-4.901
796,796,-0.41711
797,797,-1.8768
798,798,-1.6949
799,799,-2.8155
800,800,-2.8996
801,801,-1.1606
802,802,-3.8997
803,803,-0.75596
804,804,-0.32547
805,805,-0.81115
806,806,-2.0539
807,807,-0.38016
808,808,-3.7431
809,809,-3.8511
810,810,-0.42971
811,811,-1.7699
812,812,-1.035
813,813,-0.66829
814,814,-0.16616
815,815,-0.38377
816,816,-2.9487
817,817,-2.2509
818,818,-0.66365
819,819,-4.0995
820,820,-0.40892
821,821,-3.6408
822,822,-5.4402
823,823,-2.8155
824,824,-0.66354
825,825,-1.1821
826,826,-2.3583
827,827,-3.3793
828,828,-3.2285
829,829,-1.7669
830,830,-0.45167
831,831,-2.2807
832,832,-5.4402
833,833,-2.9487
834,834,-1.6201
835,835,-1.5566
836,836,-3.7431
837,837,-4.3772
838,838,-0.41376
839,839,-2.9487
840,840,-4.901
841,841,-2.7525
842,842,-0.75149
843,843,-5.4119
844,844,-1.2915
845,845,-0.48356
846,846,-2.2807
847,847,-3.195
848,848,-0.0092162
849,849,-0.94324
850,850,-1.5345
851,851,-0.058214
852,852,-1.3452
853,853,-3.8038
854,854,-1.1309
855,855,-3.3793
856,856,-6.5105
857,857,-0.66829
858,858,-1.8628
859,859,-1.8295
860,860,-1.0759
861,861,-4.3772
862,862,-3.8511
863,863,-1.2388
864,864,-3.2285
865,865,-0.24657
866,866,-1.935
867,867,-2.9282
868,868,-2.18
869,869,-3.3793
870,870,-0.30324
871,871,-3.6408
872,872,-2.5422
873,873,-3.6408
874,874,-1.2847
875,875,-3.3793
876,876,-1.6539
877,877,-3.2285
878,878,-0.54613
879,879,-3.2285
880,880,-5.4119
881,881,-0.96965
882,882,-1.6191
883,883,-1.9996
884,884,-1.7699
885,885,-0.69771
886,886,-0.57793
887,887,-2.6445
888,888,-0.1155
889,889,-1.9153
890,890,-3.293
891,891,-0.33679
892,892,-3.2285
893,893,-1.3832
894,894,-1.2713
895,895,-0.59006
896,896,-3.2285
897,897,-3.6408
898,898,-3.0009
899,899,-3.3793
900,900,-0.14477
901,901,-2.7678
902,902,-0.82391
903,903,-1.9437
904,904,-1.4161
905,905,-3.2786
906,906,-4.0995
907,907,-6.5105
908,908,-2.9282
909,909,-1.1781
910,910,-1.9358
911,911,-0.092994
912,912,-1.1821
913,913,-1.1916
914,914,-6.5105
915,915,-0.079138
916,916,-1.4972
917,917,-0.049331
918,918,-2.9487
919,919,-3.3793
920,920,-1.9052
921,921,-6.7266
922,922,-6.5105
923,923,-2.9487
924,924,-3.3793
925,925,-2.5786
926,926,-3.0981
927,927,-5.7599
928,928,-0.88072
929,929,-1.294
930,930,-0.98225
931,931,-3.3793
932,932,-0.53495
933,933,-1.0106
934,934,-3.7431
935,935,-0.67453
936,936,-0.53026
937,937,-2.2807
938,938,-1.7669
939,939,-1.5345
940,940,-0.98225
941,941,-2.9282
942,942,-2.9282
943,943,-2.6445
944,944,-1.7464
945,945,-2.4313
946,946,-4.901
947,947,-0.64968
948,948,-0.07832
949,949,-1.3393
950,950,-0.34434
951,951,-0.48857
952,952,-5.4656
953,953,-4.9024
954,954,-4.901
955,955,-0.53239
956,956,-1.6191
957,957,-1.7699
958,958,-2.9282
959,959,-2.5422
960,960,-3.6408
961,961,-0.86908
962,962,-1.9538
963,963,-1.3187
964,964,-2.9282
965,965,-1.4774
966,966,-1.3905
967,967,-0.049541
968,968,-1.035
969,969,-3.8997
970,970,-0.71366
971,971,-1.0814
972,972,-3.2285
973,973,-0.82188
974,974,-1.0665
975,975,-2.0314
976,976,-1.4059
977,977,-1.9934
978,978,-0.53026
979,979,-5.1038
980,980,-0.98145
981,981,-3.6408
982,982,-1.3393
983,983,-3.814
984,984,-2.9282
985,985,-1.9257
986,986,-1.483
987,987,-2.4886
988,988,-1.055
989,989,-1.0321
990,990,-3.1178
991,991,-3.3793
992,992,-3.6824
993,993,-4.0995
994,994,-3.0009
995,995,-3.293
996,996,-1.9995
997,997,-0.36321
998,998,-0.4553
999,999,-0.17501
1000,1000,-0.98225
1001,1001,-7.0497
1002,1002,-4.3772
1003,1003,-3.566
1004,1004,-3.6408
1005,1005,-2.5873
1006,1006,-1.8295
1007,1007,-0.76419
1008,1008,-1.8115
1009,1009,-2.1593
1010,1010,-0.30909
1011,1011,-3.293
1012,1012,-1.5324
1013,1013,-4.1126
1014,1014,-1.4343
1015,1015,-4.9024
1016,1016,-4.0995
1017,1017,-1.4242
1018,1018,-0.88072
1019,1019,-2.5422
1020,1020,-0.45184
1021,1021,-2.9282
1022,1022,-3.7431
1023,1023,-2.0963
1024,1024,-3.7431
1025,1025,-0.43649
1026,1026,-0.42359
1027,1027,-0.44229
1028,1028,-1.1191
1029,1029,-1.1821
1030,1030,-3.7431
1031,1031,-1.7699
1032,1032,-3.6408
1033,1033,-0.1231
1034,1034,-1.9098
1035,1035,-2.4313
1036,1036,-3.7431
1037,1037,-1.9098
1038,1038,-3.9949
1039,1039,-1.9538
1040,1040,-1.2826
1041,1041,-1.544
1042,1042,-2.5422
1043,1043,-1.3187
1044,1044,-4.3132
1045,1045,-4.9983
1046,1046,-0.0096122
1047,1047,-1.3173
