,lineage,s
452,452,-3.3793
453,453,-1.3187
454,454,-2.9565
455,455,-0.5411
456,456,-0.0042756
457,457,-1.1777
458,458,-0.056436
459,459,-0.65396
460,460,-0.14316
461,461,-2.2807
462,462,-2.49
463,463,-4.1968
464,464,-1.0837
465,465,-1.3187
466,466,-0.10795
467,467,-1.7313
468,468,-3.3793
469,469,-1.8501
470,470,-6.5105
471,471,-2.1299
472,472,-4.5646
473,473,-2.6004
474,474,-3.1432
475,475,-3.3793
476,476,-1.0179
477,477,-0.73219
478,478,-3.6408
479,479,-0.85935
480,480,-1.4436
481,481,-0.078608
482,482,-1.8501
483,483,-2.1336
484,484,-2.7678
485,485,-2.1336
486,486,-1.155
487,487,-0.16999
488,488,-0.89507
489,489,-4.1968
490,490,-3.3793
491,491,-1.7699
492,492,-1.3411
493,493,-6.4515
494,494,-1.2419
495,495,-2.2522
496,496,-0.50966
497,497,-2.9282
498,498,-0.50525
499,499,-0.45661
500,500,-3.6408
501,501,-1.9996
502,502,-1.0957
503,503,-1.4059
504,504,-1.7699
505,505,-0.079737
506,506,-3.3793
507,507,-4.901
508,508,-3.2285
509,509,-0.65775
510,510,-0.1231
511,511,-1.9023
512,512,-1.3187
513,513,-2.2634
514,514,-0.35241
515,515,-3.6408
516,516,-2.1299
517,517,-1.6692
518,518,-0.69101
519,519,-2.2903
520,520,-1.5643
521,521,-1.455
522,522,-2.8155
523,523,-0.60553
524,524,-2.7592
525,525,-2.1299
526,526,-3.6408
527,527,-3.3793
528,528,-1.3874
529,529,-2.9282
530,530,-0.73094
531,531,-2.9487
532,532,-1.3187
533,533,-4.9024
534,534,-0.57005
535,535,-2.0314
536,536,-3.6408
537,537,-0.18754
538,538,-0.6655
539,539,-2.1454
540,540,-6.5105
541,541,-2.2807
542,542,-5.7599
543,543,-3.362
544,544,-0.5228
545,545,-3.7431
546,546,-2.9282
547,547,-3.293
548,548,-5.3529
549,549,-3.3793
550,550,-2.9282
551,551,-2.9487
552,552,-6.5105
553,553,-2.0314
554,554,-0.18612
555,555,-0.90987
556,556,-3.6408
557,557,-1.2429
558,558,-1.2263
559,559,-2.2304
560,560,-1.3411
561,561,-3.0329
562,562,-0.98225
563,563,-4.0995
564,564,-2.9282
565,565,-2.9487
566,566,-0.4657
567,567,-1.7699
568,568,-1.8501
569,569,-3.6408
570,570,-1.6835
571,571,-1.4334
572,572,-0.58148
573,573,-0.81439
574,574,-2.8996
575,575,-1.8501
576,576,-0.07952
577,577,-0.66354
578,578,-0.45975
579,579,-0.80365
580,580,-1.035
581,581,-1.8501
582,582,-0.79153
583,583,-0.8133
584,584,-2.1536
585,585,-0.64403
586,586,-0.5468
587,587,-2.0314
588,588,-2.9282
589,589,-1.0028
590,590,-0.25337
591,591,-0.58491
592,592,-1.8295
593,593,-0.60759
594,594,-1.015
595,595,-1.6515
596,596,-3.2285
597,597,-2.5422
598,598,-0.58486
599,599,-3.3793
600,600,-0.88743
601,601,-2.7052
602,602,-2.3926
603,603,-3.293
604,604,-3.7431
605,605,-2.2764
606,606,-0.49716
607,607,-0.4349
608,608,-3.6408
609,609,-0.98225
610,610,-3.8024
611,611,-3.8997
612,612,-3.6408
613,613,-2.6445
614,614,-3.7431
615,615,-5.9511
616,616,-0.80215
617,617,-1.1821
618,618,-1.0679
619,619,-0.65263
620,620,-3.3889
621,621,-0.66354
622,622,-0.75149
623,623,-1.4928
624,624,-2.1336
625,625,-3.6408
626,626,-3.3793
627,627,-6.5105
628,628,-2.2807
629,629,-0.79153
630,630,-0.18754
631,631,-1.3452
632,632,-0.79864
633,633,-2.1745
634,634,-2.6445
635,635,-4.0995
636,636,-0.6689
637,637,-1.0872
638,638,-3.6408
639,639,-3.7431
640,640,-0.99191
641,641,-3.2285
642,642,-2.4313
643,643,-0.55894
644,644,-4.6613
645,645,-3.3889
646,646,-1.4972
647,647,-1.1059
648,648,-0.18612
649,649,-5.4119
650,650,-0.15318
651,651,-1.7699
652,652,-3.2285
653,653,-0.53026
654,654,-1.1821
655,655,-2.9282
656,656,-1.0028
657,657,-0.71366
658,658,-0.33417
659,659,-0.48356
660,660,-0.53026
661,661,-4.9024
662,662,-1.6949
663,663,-0.5288
664,664,-0.52421
665,665,-0.36989
666,666,-0.36321
667,667,-4.1505
668,668,-0.28877
669,669,-0.38377
670,670,-1.0814
671,671,-4.0995
672,672,-3.8511
673,673,-3.6408
674,674,-3.7431
675,675,-0.83059
676,676,-1.028
677,677,-1.7699
678,678,-4.1126
679,679,-3.2786
680,680,-0.79864
681,681,-0.31441
682,682,-1.6191
683,683,-3.2285
684,684,-1.9052
685,685,-2.9565
686,686,-1.4972
687,687,-2.2807
688,688,-3.566
689,689,-0.83993
690,690,-0.44551
691,691,-6.5105
692,692,-2.9282
693,693,-3.8038
694,694,-1.7699
695,695,-0.50764
696,696,-1.7147
697,697,-2.5786
698,698,-1.66
699,699,-1.2371
700,700,-7.0497
701,701,-0.10043
702,702,-1.9023
703,703,-1.2713
704,704,-0.60759
705,705,-0.29282
706,706,-1.4436
707,707,-3.3793
708,708,-0.9316
709,709,-3.3793
710,710,-2.9282
