,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
2312,43.0,47.0,51.0,12,3.2608272230089086,1.0,3.173512532485654,1.037238240184903,1.5805301065495136,1.0459512421344181,1.8843229128856358,1.326016590201819,3.598601644696511,4926.6267535437255,2.2971709198815615,1.2699594944802246,3.4310735893223825,1.0,1.5169507294806108,1.4878350471313995,2.372802329737247,1.0,2.4627208924299744,1163.1564696836044,338.21011195415565,3011.680520734625,9
2313,43.0,47.0,51.0,13,1.7642048935182686,1.2796625451733024,4.294050007591482,1.0,2.5009737788737874,1.0769395138841755,1.0,1.0,3.5270219175172826,3800.8861386076073,1.0,2.2009874560787104,4.231816157946234,1.0,2.1993945710350595,1.0,1.2177557755203008,1.0,3.6638051224437707,1133.7365567647944,358.6620074887939,2951.309575026342,9
2314,43.0,47.0,51.0,14,1.0,1.0,1.7085299131672076,1.0357977777799585,1.647713938189993,1.0,1.0,3.296369395983979,2.8804494718867004,10000000.000000006,1.0,1.7221360516830941,1.9487370954781413,1.0882028746228967,1.5824955677191066,1.0,1.0,3.2454226787735583,3.085797814272539,848.8000500948662,235.03956575968505,1628.684202385963,9
2315,43.0,47.0,51.0,15,2.1600800910054456,1.0,9.968164458948456,1.0,1.0,1.3284026852958521,1.0,1.0,1.0,411.75559701070074,1.0,1.2585995926757645,9.886122911754663,2.0978873425905857,1.0,1.2840254318126472,1.4606005342176038,1.0,1.0,324.9257469056036,47.40701400994185,685.5339851469461,9
2316,43.0,47.0,51.0,16,4.003901320100815,1.0,4.483802893525224,1.0,1.0,1.4059985672981572,1.0,1.0,2.2248262818951954,7805.857221890456,3.929897639080135,1.0,4.543765040518186,1.0,1.0,1.461279105202026,1.0,1.0,3.0156311580143447,2688.532285811252,1157.6699316259476,7157.757632803945,9
2317,43.0,47.0,51.0,17,1.0,2.070397654263785,2.045540616849579,2.0070831990111215,1.0,1.795759683664546,1.2283618357487285,1.0,2.44467609592804,10000000.000000006,1.0,2.5986254412996996,2.0683916144126586,2.5660524263572,1.0,2.6314197319402814,1.3005741678684197,1.0,3.309308353499669,100000000000.0,708975000000.0,866525000000.0001,9
2318,43.0,47.0,51.0,18,1.0,1.7674683605613952,1.0,2.0973906035967533,1.0,1.0,1.0,1.0,2.812709266889744,9764629.788965585,1.0,2.0360759911700748,1.0,1.7029644180306067,1.3862691057566598,1.389186017092573,1.0466407249034733,1.0,2.1768565220652425,930.2670715380156,304.80980359582145,2326.7549626673285,9
2319,43.0,47.0,51.0,19,1.6900766603641804,1.0,1.0,1.0,1.0,1.6033481689076148,1.0,1.3843871338625562,1.081002290687084,10000000.000000006,1.8367573256328293,1.0,1.0787018530206676,1.0,1.0,1.7529083720290959,1.0,1.3742792586588073,1.5056473731970943,4293.10081719625,2279.4714146690094,10890.807870085267,9
2320,43.0,47.0,51.0,20,1.0,1.4096876625414776,5.093731267832567,1.0,1.0,1.0,1.0,1.3397618718258628,1.0,1545.6496399728883,1.0,1.0161208561954949,5.0411936049576385,1.0,1.0,1.210134724384697,1.0,1.240973026474592,1.0,576.2221186923208,96.61166451563383,1181.8070326162913,9
2321,43.0,47.0,51.0,21,2.3776583529129653,1.0,4.643705470397194,1.0,1.0,1.4302754527243329,1.0,1.1114928419542054,1.0,1316.6057717985634,2.492331167948056,1.0,4.696239609339311,1.0,1.0,2.8196632546267875,1.0,2.076719400447798,2.1830641310738637,781.1761012698873,192.2895018510493,1833.1599176466696,9
2322,43.0,47.0,51.0,22,2.407761980306827,4.64149966633554,1.4330941209632155,1.0,1.0,1.587170154652741,1.0,1.0,1.1410994439727564,10000000.000000006,1.5567893546907652,4.206280674020386,2.025249901476146,1.0,1.3666933593200248,2.029765317368982,1.0,1.0,1.5168774341320919,1663.1110336000934,306.2907285500737,4998.647362454943,9
2323,43.0,47.0,51.0,23,1.0,2.532069637691064,2.6267215242376523,1.782496239637701,1.0,1.8820851442337543,1.2450223149704036,1.0,2.192437343532496,3060.2070370927086,1.1198692298559974,2.327891231517856,2.2562670143649597,2.0893818262715755,1.0,1.9342670010951344,1.4358726114829705,1.0,2.8570524851507497,1607.7955691157515,390.4301561269902,3055.326900412593,9
2324,43.0,47.0,51.0,24,1.0,1.0,1.7433933528415444,2.952289458059796,1.0,1.0,1.4191739854098568,3.3690721223946576,2.6906387429206124,1346.2669499713152,1.0,1.0784703511759832,2.68705449983117,3.3734141816625787,1.2914167783905761,1.0,1.5934252594627212,4.4159136486546595,3.9164810096746683,22829.52299699289,161855.61066793036,197823.52414969268,9
2325,43.0,47.0,51.0,25,1.0,1.0,1.1740651160092124,1.0,2.145394737347238,2.0506236561782902,1.0,1.1991638780468221,2.59275401079925,7306.395816284061,1.0,1.0,1.0,1.0,2.1327594241390107,2.335471279633543,1.0,1.0,3.6398107991938087,1223.9212948905652,387.8278868370206,3258.333670537856,9
2326,43.0,47.0,51.0,26,1.0,1.0,3.5159738117988257,2.2760099799579554,1.0,3.691093104013367,1.0,2.7211099862515793,2.8589537408390724,10000000.000000006,1.0,1.0,3.6548948721815657,5.023355656772176,1.0,3.72659427629059,1.0,4.501068909652913,4.801387016353087,100000000000.0,708975000000.0,866525000000.0001,9
2327,43.0,47.0,51.0,27,1.0,2.131703495650732,1.0,1.3912446500319238,1.4403769532487896,2.3877836170095486,1.0,1.0,1.153396753548796,10000000.000000006,1.0,2.1317288863217416,1.0,1.391095250445538,1.4403470056766805,2.387790788028141,1.0,1.0,1.1533271675644998,1069.5414330637734,340.4557446085356,2687.284447397855,9
2328,43.0,47.0,51.0,28,1.0,3.3291561168834103,2.6998692724236055,1.2802174320337987,1.0,1.0,1.0,2.0927430309154076,1.0,1983.2538137752858,1.0,3.294914736424182,2.629318129462131,1.4803912215629373,1.272318442221145,1.0,1.0,2.03372127241151,1.0,1087.215742702219,342.8763951761377,2600.139471149375,9
2329,43.0,47.0,51.0,29,2.783173184243746,1.5661102196756769,1.0,1.0,1.0,2.012821699143723,1.0,1.2556761760006803,1.0,10000000.000000006,2.78321387214733,1.566134204506925,1.0,1.0,1.0,2.0128426890496565,1.0,1.2556869465638472,1.0,4966.068482217371,2403.297100087379,12598.003171245575,9
2330,43.0,47.0,51.0,30,1.0,3.045046158709293,2.7006477126598902,2.0574863062205164,1.0,1.0,1.0,1.0,3.2066604582733054,10000000.000000006,1.1236125344633423,2.669775214729689,2.56212780084017,3.423315484706565,1.0,1.0,1.0,1.0,2.572500477739665,1310.9302985055879,546.3247064948184,2491.187737128087,9
2331,43.0,47.0,51.0,31,2.2728752099583236,1.0,2.3640652213045406,1.0,1.6906888555743544,1.0,2.799421123632586,1.0,1.0,10000000.000000006,2.272937703593269,1.0,2.364168266544463,1.0,1.690717927960015,1.0,2.799424434715769,1.0,1.0,3882.4111260360123,1991.2093798224723,22866.07037004995,9
2332,43.0,47.0,51.0,32,1.0,1.0,2.591198167955389,1.0,1.0,1.0,1.0,1.0,2.4397490288829156,10000000.000000006,1.0,1.0,2.791530110674543,1.2891763407351982,1.0,1.7939833868550326,1.0,1.0,2.4618770756219743,2544.5255234910155,631.7139002077544,7198.397461711891,9
2333,43.0,47.0,51.0,33,1.0,3.1671974547861947,2.9654018739226657,1.0,1.0,1.4302475309521294,1.0,1.0,2.493699952875742,826.539652682546,1.0,3.1671596534594024,2.9653986010742757,1.0,1.0,1.4302657979899394,1.0,1.0,2.4936874083652425,621.1591043151046,80.1066401664338,1103.7519468983783,9
2334,43.0,47.0,51.0,34,2.695141211841328,1.0,2.867196100153199,1.0,1.0,1.0,1.1914875895624368,1.0,1.787247705733304,10000000.000000006,2.6109306140387343,1.0,2.9029314442912963,1.0,1.0,1.0,1.520961132993976,1.0,1.3115128862487222,1457.505212339291,402.929683239296,2230.1698345217224,9
2335,43.0,47.0,51.0,35,1.0,2.480581022948399,3.4454949567526145,1.1246243480392348,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.0,2.4704486945655764,3.5082170776930277,1.4313689917605552,1.4034356947573543,1.0,1.0809397107868761,1.0,1.5886824104744175,2536.7958706626823,737.6221839311492,6568.349923577378,9
2336,43.0,47.0,51.0,36,1.4816121422987454,1.0,2.366169579833737,1.7911388017096026,1.0,1.8134014548264765,1.3143360755977989,1.2391534866523386,1.0,10000000.000000006,1.2366941414363783,1.0,2.545411963604504,2.8626979922692786,1.0914937312784772,1.7764893631408087,1.4996289810146801,1.307307660616942,1.0,1079.1398842247659,280.5278840705889,2006.3239599657452,9
2337,43.0,47.0,51.0,37,1.0,2.2551542926686583,1.2715015878553044,1.0,2.137107761875649,3.166739835686078,1.0,1.0,2.238669642888367,777.3598455348432,1.0,2.496448255776814,1.0,1.0,1.9693847424524484,2.787046740013356,1.0,1.0,1.6150829668730176,413.62890774487573,244.04105556947667,803.0410802927224,9
2338,43.0,47.0,51.0,38,1.7148565308471229,1.0,3.038007920649222,2.187822311523333,1.0,2.1624050124911256,1.665761926843727,1.0,1.6650039954740958,5913.235537153713,1.0,1.0,2.436152742520005,1.14570749022734,1.0,2.0557629106108584,2.6981769662706747,1.0,1.0,494.20781839729483,171.92391394599838,959.4812474268848,9
2339,43.0,47.0,51.0,39,1.0,1.0,4.7252377311531095,1.0,2.069892326722581,1.0,1.2709743760810215,1.0,1.0,4232.40427188223,1.0,1.0,4.380657603156978,1.0,1.8603708965822985,1.0,1.1942417009548203,1.0,1.0,703.7058239661741,73.06910437558295,1337.2666122741814,9
2340,43.0,47.0,51.0,40,4.869219036223031,1.0,1.4235121021969839,1.0,1.0,1.0,1.0,1.0,3.7165307406544934,10000000.000000006,4.826991191489808,1.3891539198882645,1.451868608116734,1.2994365304485131,1.0,1.0,1.0,1.3475702379286607,3.8792791447724557,1291.412748288493,405.34058175739557,2569.745803357141,9
2341,43.0,47.0,51.0,41,3.1329292120074035,1.0,1.763007299304821,1.0,1.0,1.1916856226736257,1.0,1.0,1.0,10000000.000000006,2.1331877811834743,1.0,1.7347041820344038,1.0607928387977974,1.2059863038452734,1.3602526711895113,1.0,1.0,1.0,960.4915709394837,234.38275346983596,1825.2418346474997,9
2342,43.0,47.0,51.0,42,2.3226474710713374,1.304397901259891,4.171005090033392,1.0,1.0,1.0,1.4228065958516696,1.0,3.2023786985550102,10000000.000000006,1.6174298966113427,1.844125899795475,3.336928175036704,1.6874590739131328,1.0,1.0,1.3067198182670556,1.0,3.7429598236204344,1163.1009297445487,298.66661908756726,3090.106222342115,9
2343,43.0,47.0,51.0,43,1.0,1.209794185520296,1.0,1.0,1.2057367931404936,1.2437628070030362,1.0,1.0,2.7273891865822137,10000000.000000006,1.0,1.4112676766455232,1.0,1.4410074428223079,1.265808729165951,1.6426533200158098,1.0,1.0,2.8391560408425116,1821.4533817989848,758.8723608004705,3611.18700919271,9
