,lineage,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
18,18,64.0,25.0,16.0,12.0,19.0,4.0,23.0,10.0,25.0,5.0,14.0,10.0,21.0,26.0,19.0,28.0,56.0,67.0,30.0,46.0
19,19,24.0,20.0,9.0,21.0,23.0,38.0,25.0,14.0,26.0,23.0,39.0,29.0,29.0,27.0,14.0,30.0,12.0,9.0,4.0,5.0
20,20,30.0,28.0,9.0,38.0,44.0,14.0,6.0,16.0,10.0,7.0,4.0,13.0,5.0,13.0,14.0,11.0,5.0,8.0,24.0,24.0
21,21,17.0,10.0,5.0,7.0,4.0,10.0,5.0,26.0,16.0,24.0,20.0,16.0,8.0,11.0,20.0,1.0,1.0,10.0,16.0,2.0
22,22,39.0,19.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,5.0,28.0,22.0,39.0,6.0,5.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,27.0,7.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,26.0,35.0,6.0,7.0,41.0,24.0,33.0,15.0,18.0,20.0,2.0,15.0,14.0,9.0,2.0,4.0,8.0,5.0,10.0,1.0
26,26,21.0,48.0,13.0,9.0,19.0,20.0,21.0,10.0,13.0,30.0,33.0,29.0,22.0,37.0,56.0,28.0,27.0,47.0,34.0,59.0
27,27,13.0,42.0,11.0,33.0,26.0,25.0,36.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,9.0,17.0,28.0,15.0,22.0,17.0,29.0,30.0,34.0,25.0,32.0,41.0,18.0,63.0,39.0,20.0,61.0,75.0,60.0,45.0
29,29,19.0,7.0,28.0,9.0,17.0,52.0,57.0,40.0,37.0,61.0,28.0,28.0,15.0,24.0,19.0,18.0,11.0,4.0,18.0,17.0
30,30,17.0,21.0,11.0,36.0,25.0,2.0,20.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,41.0,37.0,14.0,9.0,12.0,9.0,4.0,6.0,15.0,18.0,16.0,8.0,30.0,23.0,3.0,5.0,4.0,6.0,30.0,44.0
32,32,18.0,13.0,57.0,30.0,47.0,63.0,70.0,44.0,17.0,63.0,68.0,40.0,51.0,30.0,43.0,29.0,24.0,31.0,10.0,5.0
33,33,17.0,20.0,27.0,26.0,33.0,38.0,28.0,33.0,8.0,19.0,57.0,47.0,33.0,27.0,42.0,69.0,94.0,108.0,58.0,58.0
34,34,10.0,3.0,29.0,15.0,13.0,1.0,7.0,0.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,24.0,11.0,10.0,26.0,22.0,22.0,16.0,9.0,20.0,20.0,8.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,31.0,12.0,28.0,29.0,11.0,40.0,30.0,29.0,79.0,37.0,51.0,51.0,42.0,66.0,73.0,113.0,109.0,153.0,163.0,171.0
37,37,39.0,36.0,2.0,0.0,0.0,3.0,13.0,6.0,19.0,6.0,29.0,27.0,14.0,17.0,14.0,4.0,7.0,4.0,2.0,11.0
38,38,25.0,41.0,22.0,14.0,49.0,8.0,19.0,2.0,5.0,6.0,3.0,19.0,15.0,18.0,12.0,4.0,20.0,13.0,16.0,16.0
39,39,13.0,23.0,37.0,21.0,15.0,37.0,21.0,12.0,24.0,40.0,54.0,21.0,28.0,24.0,24.0,61.0,35.0,73.0,57.0,45.0
40,40,15.0,24.0,36.0,15.0,30.0,51.0,55.0,69.0,22.0,93.0,31.0,21.0,20.0,22.0,7.0,10.0,18.0,15.0,8.0,3.0
41,41,36.0,37.0,11.0,20.0,4.0,9.0,8.0,2.0,4.0,0.0,5.0,28.0,15.0,5.0,0.0,3.0,2.0,1.0,5.0,1.0
42,42,6.0,17.0,10.0,17.0,18.0,37.0,12.0,17.0,13.0,22.0,41.0,10.0,11.0,37.0,13.0,11.0,22.0,27.0,27.0,30.0
43,43,28.0,16.0,23.0,23.0,17.0,56.0,27.0,15.0,23.0,16.0,3.0,44.0,20.0,25.0,15.0,16.0,21.0,25.0,29.0,51.0
44,44,14.0,30.0,23.0,13.0,24.0,58.0,12.0,39.0,18.0,34.0,17.0,16.0,38.0,6.0,12.0,21.0,41.0,33.0,19.0,34.0
45,45,16.0,38.0,18.0,5.0,19.0,55.0,24.0,55.0,24.0,41.0,29.0,31.0,16.0,19.0,56.0,53.0,86.0,63.0,80.0,64.0
46,46,36.0,6.0,11.0,15.0,11.0,20.0,27.0,10.0,3.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,27.0,24.0,23.0,39.0,40.0,31.0,38.0,55.0,60.0,74.0,77.0,103.0,61.0,85.0,77.0,39.0,86.0,98.0,75.0,52.0
48,48,14.0,9.0,20.0,2.0,25.0,11.0,10.0,3.0,31.0,21.0,5.0,7.0,3.0,7.0,34.0,20.0,16.0,24.0,7.0,16.0
49,49,20.0,2.0,10.0,13.0,11.0,11.0,6.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
