,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
188,9.0,13.0,17.0,8,,,,9,1
189,9.0,13.0,17.0,9,,,,9,1
190,9.0,13.0,17.0,10,,,,9,1
191,9.0,13.0,17.0,11,,,,9,1
192,9.0,13.0,17.0,12,,,,9,1
193,9.0,13.0,17.0,13,,,,9,1
194,9.0,13.0,17.0,14,,,,9,1
195,9.0,13.0,17.0,15,,,,9,1
196,9.0,13.0,17.0,16,,,,9,1
197,9.0,13.0,17.0,17,,,,9,1
198,9.0,13.0,17.0,18,,,,9,1
199,9.0,13.0,17.0,19,,,,9,1
200,10.0,14.0,18.0,0,,,,9,1
201,10.0,14.0,18.0,1,,,,9,1
202,10.0,14.0,18.0,2,,,,9,1
203,10.0,14.0,18.0,3,,,,9,1
204,10.0,14.0,18.0,4,,,,9,1
205,10.0,14.0,18.0,5,,,,9,1
206,10.0,14.0,18.0,6,,,,9,1
207,10.0,14.0,18.0,7,,,,9,1
208,10.0,14.0,18.0,8,,,,9,1
209,10.0,14.0,18.0,9,,,,9,1
210,10.0,14.0,18.0,10,,,,9,1
211,10.0,14.0,18.0,11,,,,9,1
212,10.0,14.0,18.0,12,,,,9,1
213,10.0,14.0,18.0,13,,,,9,1
214,10.0,14.0,18.0,14,,,,9,1
215,10.0,14.0,18.0,15,,,,9,1
216,10.0,14.0,18.0,16,,,,9,1
217,10.0,14.0,18.0,17,,,,9,1
218,10.0,14.0,18.0,18,,,,9,1
219,10.0,14.0,18.0,19,,,,9,1
220,11.0,15.0,19.0,0,4765.841767950402,4136.050208575067,5455.426397017794,9,1
221,11.0,15.0,19.0,1,4171.783461717613,3610.3908406321952,4814.868333267612,9,1
222,11.0,15.0,19.0,2,5007.563163548647,4307.023386769595,5697.245064618289,9,1
223,11.0,15.0,19.0,3,4717.820895009248,4098.88312051263,5425.832547323587,9,1
224,11.0,15.0,19.0,4,4782.441946887411,4139.54072380909,5448.296063593828,9,1
225,11.0,15.0,19.0,5,3938.7586154080036,3428.8535703339767,4586.005455542768,9,1
226,11.0,15.0,19.0,6,4025.8599657454347,3496.050733482106,4553.920683725486,9,1
227,11.0,15.0,19.0,7,4903.10567065103,4198.265117901998,5564.16836002926,9,1
228,11.0,15.0,19.0,8,4760.333567171991,4110.351681972186,5443.232976466733,9,1
229,11.0,15.0,19.0,9,4633.274437887289,3996.9132589531196,5169.9895564969565,9,1
230,11.0,15.0,19.0,10,4904.221573569028,4197.952662607487,5564.141643485037,9,1
231,11.0,15.0,19.0,11,4419.853142723851,3802.5051757119395,5055.439474881388,9,1
232,11.0,15.0,19.0,12,4903.037978251052,4198.283704401646,5564.17148740642,9,1
233,11.0,15.0,19.0,13,5124.962230439855,4414.552715535511,5833.301338392668,9,1
234,11.0,15.0,19.0,14,3783.9372378021253,3291.356822345944,4344.8789652219475,9,1
235,11.0,15.0,19.0,15,3847.260033607935,3339.145858876829,4440.05162272447,9,1
236,11.0,15.0,19.0,16,4008.4992145230713,3498.8777277580066,4630.204295783292,9,1
237,11.0,15.0,19.0,17,4507.852785281858,3894.7650207923957,5144.865914791197,9,1
238,11.0,15.0,19.0,18,4250.203940932424,3700.6026327287977,4794.283601423697,9,1
239,11.0,15.0,19.0,19,4528.932707553427,3895.27329586924,5195.646486802017,9,1
240,12.0,16.0,20.0,0,9970.422684374724,8683.057985284957,10924.200995124782,9,1
241,12.0,16.0,20.0,1,10035.458694413763,8721.009421171233,11077.254031389108,9,1
242,12.0,16.0,20.0,2,9649.716689235642,8554.674863378355,10650.712731233438,9,1
243,12.0,16.0,20.0,3,10888.605186741344,9597.227506156363,12177.036185359475,9,1
244,12.0,16.0,20.0,4,9649.716689235642,8512.30107511955,10806.35711175829,9,1
245,12.0,16.0,20.0,5,10107.191024619755,8937.982632374822,11086.483876020195,9,1
246,12.0,16.0,20.0,6,9649.716689235642,8612.472347167128,11058.156919459949,9,1
247,12.0,16.0,20.0,7,9066.458066831514,8075.984233125168,10015.260084939704,9,1
248,12.0,16.0,20.0,8,9348.999233018836,8283.358796956398,10267.830152408138,9,1
249,12.0,16.0,20.0,9,9348.999233018836,8255.680525832713,10481.964776915023,9,1
250,12.0,16.0,20.0,10,9348.999233018836,8168.862833038273,10488.348555565746,9,1
251,12.0,16.0,20.0,11,9066.458066831514,7882.92537099327,9947.540451643832,9,1
252,12.0,16.0,20.0,12,8670.305799336807,7697.214637232024,9753.803104725557,9,1
253,12.0,16.0,20.0,13,9348.999233018836,8301.643893169863,10535.064085340611,9,1
254,12.0,16.0,20.0,14,9348.999233018836,8283.358796956398,10266.863591625908,9,1
255,12.0,16.0,20.0,15,8750.08228118656,7764.209404575273,9969.81830909602,9,1
256,12.0,16.0,20.0,16,9066.458066831514,8042.758571630924,10124.105196280043,9,1
257,12.0,16.0,20.0,17,9649.716689235642,8714.219507372813,10806.62546114637,9,1
258,12.0,16.0,20.0,18,10456.903472522135,9402.893744047247,11913.441706469242,9,1
259,12.0,16.0,20.0,19,9066.458066831514,8030.540094813798,10200.035993805983,9,1
260,13.0,17.0,21.0,0,17227.384162001603,15089.018436863682,19258.31707706401,9,1
261,13.0,17.0,21.0,1,17918.078625018745,15560.89832743024,19572.348289104353,9,1
262,13.0,17.0,21.0,2,15930.254278632567,13950.528449001433,17862.923733806118,9,1
263,13.0,17.0,21.0,3,15126.99764578336,13221.417190574404,16735.73130718654,9,1
264,13.0,17.0,21.0,4,15126.99764578336,13437.122644028977,17055.448766603346,9,1
265,13.0,17.0,21.0,5,18056.799222866688,15629.324013321815,19726.351431886604,9,1
266,13.0,17.0,21.0,6,15126.99764578336,13340.013183650313,17003.151410717215,9,1
267,13.0,17.0,21.0,7,16985.802932458268,14750.757733866367,18748.257195925453,9,1
268,13.0,17.0,21.0,8,16823.602057002143,14481.201627213222,18392.931386499487,9,1
269,13.0,17.0,21.0,9,16823.602057002143,14384.576005718165,18251.305028291357,9,1
270,13.0,17.0,21.0,10,15930.254278632567,13691.22884832728,17242.009512261546,9,1
271,13.0,17.0,21.0,11,15930.254278632567,13685.597815408015,17242.009512261546,9,1
272,13.0,17.0,21.0,12,16823.602057002143,14370.251173294197,18285.329755800554,9,1
273,13.0,17.0,21.0,13,16955.034498065525,14760.272516597262,18742.380962252162,9,1
274,13.0,17.0,21.0,14,17823.098016185577,15612.834233105394,19364.0591029686,9,1
275,13.0,17.0,21.0,15,15930.254278632567,14469.3397950644,18333.19674140919,9,1
276,13.0,17.0,21.0,16,15126.99764578336,13753.926324232838,17064.263476006065,9,1
277,13.0,17.0,21.0,17,15930.254278632567,14136.622633683868,17942.418060775373,9,1
278,13.0,17.0,21.0,18,16988.74892712355,14749.76763680244,18748.87651879679,9,1
279,13.0,17.0,21.0,19,15930.254278632567,14408.036052403875,18324.905459039834,9,1
280,14.0,18.0,22.0,0,29248.582409528764,24946.33260973333,32079.569717045946,9,1
281,14.0,18.0,22.0,1,26650.30333159214,23193.566559084105,29669.98792278151,9,1
282,14.0,18.0,22.0,2,26650.30333159214,23936.87828024582,30118.276957206435,9,1
