,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
163,18.0,20.0,22.0,63,,,,,,,,,,,,,,,5,1
164,18.0,20.0,22.0,64,,,,,,,,,,,,,,,5,1
165,18.0,20.0,22.0,65,,,,,,,,,,,,,,,5,1
166,18.0,20.0,22.0,66,,,,,,,,,,,,,,,5,1
167,18.0,20.0,22.0,67,,,,,,,,,,,,,,,5,1
168,18.0,20.0,22.0,68,,,,,,,,,,,,,,,5,1
169,18.0,20.0,22.0,69,,,,,,,,,,,,,,,5,1
170,18.0,20.0,22.0,70,,,,,,,,,,,,,,,5,1
171,18.0,20.0,22.0,71,,,,,,,,,,,,,,,5,1
172,18.0,20.0,22.0,72,,,,,,,,,,,,,,,5,1
173,18.0,20.0,22.0,73,,,,,,,,,,,,,,,5,1
174,18.0,20.0,22.0,74,,,,,,,,,,,,,,,5,1
175,18.0,20.0,22.0,75,,,,,,,,,,,,,,,5,1
176,18.0,20.0,22.0,76,,,,,,,,,,,,,,,5,1
177,18.0,20.0,22.0,77,,,,,,,,,,,,,,,5,1
178,18.0,20.0,22.0,78,,,,,,,,,,,,,,,5,1
179,18.0,20.0,22.0,79,,,,,,,,,,,,,,,5,1
180,18.0,20.0,22.0,80,,,,,,,,,,,,,,,5,1
181,18.0,20.0,22.0,81,,,,,,,,,,,,,,,5,1
182,18.0,20.0,22.0,82,,,,,,,,,,,,,,,5,1
183,18.0,20.0,22.0,83,,,,,,,,,,,,,,,5,1
184,18.0,20.0,22.0,84,,,,,,,,,,,,,,,5,1
185,18.0,20.0,22.0,85,,,,,,,,,,,,,,,5,1
186,18.0,20.0,22.0,86,,,,,,,,,,,,,,,5,1
187,18.0,20.0,22.0,87,,,,,,,,,,,,,,,5,1
188,18.0,20.0,22.0,88,,,,,,,,,,,,,,,5,1
189,18.0,20.0,22.0,89,,,,,,,,,,,,,,,5,1
190,18.0,20.0,22.0,90,,,,,,,,,,,,,,,5,1
191,18.0,20.0,22.0,91,,,,,,,,,,,,,,,5,1
192,18.0,20.0,22.0,92,,,,,,,,,,,,,,,5,1
193,18.0,20.0,22.0,93,,,,,,,,,,,,,,,5,1
194,18.0,20.0,22.0,94,,,,,,,,,,,,,,,5,1
195,18.0,20.0,22.0,95,,,,,,,,,,,,,,,5,1
196,18.0,20.0,22.0,96,,,,,,,,,,,,,,,5,1
197,18.0,20.0,22.0,97,,,,,,,,,,,,,,,5,1
198,18.0,20.0,22.0,98,,,,,,,,,,,,,,,5,1
199,18.0,20.0,22.0,99,,,,,,,,,,,,,,,5,1
200,19.0,21.0,23.0,0,,,,,,,,,,,,,,,5,1
201,19.0,21.0,23.0,1,,,,,,,,,,,,,,,5,1
202,19.0,21.0,23.0,2,,,,,,,,,,,,,,,5,1
203,19.0,21.0,23.0,3,,,,,,,,,,,,,,,5,1
204,19.0,21.0,23.0,4,,,,,,,,,,,,,,,5,1
205,19.0,21.0,23.0,5,,,,,,,,,,,,,,,5,1
206,19.0,21.0,23.0,6,,,,,,,,,,,,,,,5,1
207,19.0,21.0,23.0,7,,,,,,,,,,,,,,,5,1
208,19.0,21.0,23.0,8,,,,,,,,,,,,,,,5,1
209,19.0,21.0,23.0,9,,,,,,,,,,,,,,,5,1
210,19.0,21.0,23.0,10,,,,,,,,,,,,,,,5,1
211,19.0,21.0,23.0,11,,,,,,,,,,,,,,,5,1
212,19.0,21.0,23.0,12,,,,,,,,,,,,,,,5,1
213,19.0,21.0,23.0,13,,,,,,,,,,,,,,,5,1
214,19.0,21.0,23.0,14,,,,,,,,,,,,,,,5,1
215,19.0,21.0,23.0,15,,,,,,,,,,,,,,,5,1
216,19.0,21.0,23.0,16,,,,,,,,,,,,,,,5,1
217,19.0,21.0,23.0,17,,,,,,,,,,,,,,,5,1
218,19.0,21.0,23.0,18,,,,,,,,,,,,,,,5,1
219,19.0,21.0,23.0,19,,,,,,,,,,,,,,,5,1
220,19.0,21.0,23.0,20,,,,,,,,,,,,,,,5,1
221,19.0,21.0,23.0,21,,,,,,,,,,,,,,,5,1
222,19.0,21.0,23.0,22,,,,,,,,,,,,,,,5,1
223,19.0,21.0,23.0,23,,,,,,,,,,,,,,,5,1
224,19.0,21.0,23.0,24,,,,,,,,,,,,,,,5,1
225,19.0,21.0,23.0,25,,,,,,,,,,,,,,,5,1
226,19.0,21.0,23.0,26,,,,,,,,,,,,,,,5,1
227,19.0,21.0,23.0,27,,,,,,,,,,,,,,,5,1
228,19.0,21.0,23.0,28,,,,,,,,,,,,,,,5,1
229,19.0,21.0,23.0,29,,,,,,,,,,,,,,,5,1
230,19.0,21.0,23.0,30,,,,,,,,,,,,,,,5,1
231,19.0,21.0,23.0,31,,,,,,,,,,,,,,,5,1
232,19.0,21.0,23.0,32,,,,,,,,,,,,,,,5,1
233,19.0,21.0,23.0,33,,,,,,,,,,,,,,,5,1
234,19.0,21.0,23.0,34,,,,,,,,,,,,,,,5,1
235,19.0,21.0,23.0,35,,,,,,,,,,,,,,,5,1
236,19.0,21.0,23.0,36,,,,,,,,,,,,,,,5,1
237,19.0,21.0,23.0,37,,,,,,,,,,,,,,,5,1
238,19.0,21.0,23.0,38,,,,,,,,,,,,,,,5,1
239,19.0,21.0,23.0,39,,,,,,,,,,,,,,,5,1
240,19.0,21.0,23.0,40,,,,,,,,,,,,,,,5,1
241,19.0,21.0,23.0,41,,,,,,,,,,,,,,,5,1
242,19.0,21.0,23.0,42,,,,,,,,,,,,,,,5,1
243,19.0,21.0,23.0,43,,,,,,,,,,,,,,,5,1
244,19.0,21.0,23.0,44,,,,,,,,,,,,,,,5,1
245,19.0,21.0,23.0,45,,,,,,,,,,,,,,,5,1
246,19.0,21.0,23.0,46,,,,,,,,,,,,,,,5,1
247,19.0,21.0,23.0,47,,,,,,,,,,,,,,,5,1
248,19.0,21.0,23.0,48,,,,,,,,,,,,,,,5,1
249,19.0,21.0,23.0,49,,,,,,,,,,,,,,,5,1
250,19.0,21.0,23.0,50,,,,,,,,,,,,,,,5,1
251,19.0,21.0,23.0,51,,,,,,,,,,,,,,,5,1
252,19.0,21.0,23.0,52,,,,,,,,,,,,,,,5,1
253,19.0,21.0,23.0,53,,,,,,,,,,,,,,,5,1
254,19.0,21.0,23.0,54,,,,,,,,,,,,,,,5,1
255,19.0,21.0,23.0,55,,,,,,,,,,,,,,,5,1
256,19.0,21.0,23.0,56,,,,,,,,,,,,,,,5,1
257,19.0,21.0,23.0,57,,,,,,,,,,,,,,,5,1
258,19.0,21.0,23.0,58,,,,,,,,,,,,,,,5,1
259,19.0,21.0,23.0,59,,,,,,,,,,,,,,,5,1
260,19.0,21.0,23.0,60,,,,,,,,,,,,,,,5,1
261,19.0,21.0,23.0,61,,,,,,,,,,,,,,,5,1
262,19.0,21.0,23.0,62,,,,,,,,,,,,,,,5,1
263,19.0,21.0,23.0,63,,,,,,,,,,,,,,,5,1
264,19.0,21.0,23.0,64,,,,,,,,,,,,,,,5,1
265,19.0,21.0,23.0,65,,,,,,,,,,,,,,,5,1
266,19.0,21.0,23.0,66,,,,,,,,,,,,,,,5,1
267,19.0,21.0,23.0,67,,,,,,,,,,,,,,,5,1
268,19.0,21.0,23.0,68,,,,,,,,,,,,,,,5,1
269,19.0,21.0,23.0,69,,,,,,,,,,,,,,,5,1
270,19.0,21.0,23.0,70,,,,,,,,,,,,,,,5,1
271,19.0,21.0,23.0,71,,,,,,,,,,,,,,,5,1
272,19.0,21.0,23.0,72,,,,,,,,,,,,,,,5,1
273,19.0,21.0,23.0,73,,,,,,,,,,,,,,,5,1
274,19.0,21.0,23.0,74,,,,,,,,,,,,,,,5,1
275,19.0,21.0,23.0,75,,,,,,,,,,,,,,,5,1
276,19.0,21.0,23.0,76,,,,,,,,,,,,,,,5,1
277,19.0,21.0,23.0,77,,,,,,,,,,,,,,,5,1
278,19.0,21.0,23.0,78,,,,,,,,,,,,,,,5,1
279,19.0,21.0,23.0,79,,,,,,,,,,,,,,,5,1
280,19.0,21.0,23.0,80,,,,,,,,,,,,,,,5,1
281,19.0,21.0,23.0,81,,,,,,,,,,,,,,,5,1
282,19.0,21.0,23.0,82,,,,,,,,,,,,,,,5,1
283,19.0,21.0,23.0,83,,,,,,,,,,,,,,,5,1
284,19.0,21.0,23.0,84,,,,,,,,,,,,,,,5,1
285,19.0,21.0,23.0,85,,,,,,,,,,,,,,,5,1
286,19.0,21.0,23.0,86,,,,,,,,,,,,,,,5,1
287,19.0,21.0,23.0,87,,,,,,,,,,,,,,,5,1
288,19.0,21.0,23.0,88,,,,,,,,,,,,,,,5,1
289,19.0,21.0,23.0,89,,,,,,,,,,,,,,,5,1
290,19.0,21.0,23.0,90,,,,,,,,,,,,,,,5,1
291,19.0,21.0,23.0,91,,,,,,,,,,,,,,,5,1
292,19.0,21.0,23.0,92,,,,,,,,,,,,,,,5,1
293,19.0,21.0,23.0,93,,,,,,,,,,,,,,,5,1
294,19.0,21.0,23.0,94,,,,,,,,,,,,,,,5,1
295,19.0,21.0,23.0,95,,,,,,,,,,,,,,,5,1
296,19.0,21.0,23.0,96,,,,,,,,,,,,,,,5,1
297,19.0,21.0,23.0,97,,,,,,,,,,,,,,,5,1
298,19.0,21.0,23.0,98,,,,,,,,,,,,,,,5,1
299,19.0,21.0,23.0,99,,,,,,,,,,,,,,,5,1
300,20.0,22.0,24.0,0,,,,,,,,,,,,,,,5,1
301,20.0,22.0,24.0,1,,,,,,,,,,,,,,,5,1
302,20.0,22.0,24.0,2,,,,,,,,,,,,,,,5,1
303,20.0,22.0,24.0,3,,,,,,,,,,,,,,,5,1
304,20.0,22.0,24.0,4,,,,,,,,,,,,,,,5,1
305,20.0,22.0,24.0,5,,,,,,,,,,,,,,,5,1
306,20.0,22.0,24.0,6,,,,,,,,,,,,,,,5,1
307,20.0,22.0,24.0,7,,,,,,,,,,,,,,,5,1
308,20.0,22.0,24.0,8,,,,,,,,,,,,,,,5,1
309,20.0,22.0,24.0,9,,,,,,,,,,,,,,,5,1
310,20.0,22.0,24.0,10,,,,,,,,,,,,,,,5,1
311,20.0,22.0,24.0,11,,,,,,,,,,,,,,,5,1
312,20.0,22.0,24.0,12,,,,,,,,,,,,,,,5,1
313,20.0,22.0,24.0,13,,,,,,,,,,,,,,,5,1
314,20.0,22.0,24.0,14,,,,,,,,,,,,,,,5,1
315,20.0,22.0,24.0,15,,,,,,,,,,,,,,,5,1
316,20.0,22.0,24.0,16,,,,,,,,,,,,,,,5,1
317,20.0,22.0,24.0,17,,,,,,,,,,,,,,,5,1
318,20.0,22.0,24.0,18,,,,,,,,,,,,,,,5,1
319,20.0,22.0,24.0,19,,,,,,,,,,,,,,,5,1
320,20.0,22.0,24.0,20,,,,,,,,,,,,,,,5,1
321,20.0,22.0,24.0,21,,,,,,,,,,,,,,,5,1
322,20.0,22.0,24.0,22,,,,,,,,,,,,,,,5,1
323,20.0,22.0,24.0,23,,,,,,,,,,,,,,,5,1
324,20.0,22.0,24.0,24,,,,,,,,,,,,,,,5,1
325,20.0,22.0,24.0,25,,,,,,,,,,,,,,,5,1
326,20.0,22.0,24.0,26,,,,,,,,,,,,,,,5,1
327,20.0,22.0,24.0,27,,,,,,,,,,,,,,,5,1
328,20.0,22.0,24.0,28,,,,,,,,,,,,,,,5,1
329,20.0,22.0,24.0,29,,,,,,,,,,,,,,,5,1
330,20.0,22.0,24.0,30,,,,,,,,,,,,,,,5,1
331,20.0,22.0,24.0,31,,,,,,,,,,,,,,,5,1
332,20.0,22.0,24.0,32,,,,,,,,,,,,,,,5,1
333,20.0,22.0,24.0,33,,,,,,,,,,,,,,,5,1
334,20.0,22.0,24.0,34,,,,,,,,,,,,,,,5,1
335,20.0,22.0,24.0,35,,,,,,,,,,,,,,,5,1
336,20.0,22.0,24.0,36,,,,,,,,,,,,,,,5,1
337,20.0,22.0,24.0,37,,,,,,,,,,,,,,,5,1
338,20.0,22.0,24.0,38,,,,,,,,,,,,,,,5,1
339,20.0,22.0,24.0,39,,,,,,,,,,,,,,,5,1
340,20.0,22.0,24.0,40,,,,,,,,,,,,,,,5,1
341,20.0,22.0,24.0,41,,,,,,,,,,,,,,,5,1
342,20.0,22.0,24.0,42,,,,,,,,,,,,,,,5,1
343,20.0,22.0,24.0,43,,,,,,,,,,,,,,,5,1
344,20.0,22.0,24.0,44,,,,,,,,,,,,,,,5,1
345,20.0,22.0,24.0,45,,,,,,,,,,,,,,,5,1
346,20.0,22.0,24.0,46,,,,,,,,,,,,,,,5,1
347,20.0,22.0,24.0,47,,,,,,,,,,,,,,,5,1
348,20.0,22.0,24.0,48,,,,,,,,,,,,,,,5,1
349,20.0,22.0,24.0,49,,,,,,,,,,,,,,,5,1
350,20.0,22.0,24.0,50,,,,,,,,,,,,,,,5,1
351,20.0,22.0,24.0,51,,,,,,,,,,,,,,,5,1
352,20.0,22.0,24.0,52,,,,,,,,,,,,,,,5,1
353,20.0,22.0,24.0,53,,,,,,,,,,,,,,,5,1
354,20.0,22.0,24.0,54,,,,,,,,,,,,,,,5,1
355,20.0,22.0,24.0,55,,,,,,,,,,,,,,,5,1
356,20.0,22.0,24.0,56,,,,,,,,,,,,,,,5,1
