,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
1562,32.0,36.0,40.0,62,10.931631477910084,7.776330301584587,4.021999862306763,1.7240885556326568,3.529943341401607,1.0,1.909216103036399,1.0,16.574276552184322,228.88365138024614,10.794934474239996,9.170475922023229,2.912233326206201,1.0,1.0,1.0,1.1245200512788032,1.0,16.24722168060042,195.96643896872507,154.3612565415188,306.57860674218324,9,1
1563,32.0,36.0,40.0,63,10.2458164550842,5.323599686124247,5.01261996925276,2.9663279082444913,6.820142421021552,1.0,1.0,1.0,21.328339649270998,258.65228205209667,9.097128331255409,9.359297827486113,7.133777196250652,1.4350376968279854,5.890211997793114,1.0,1.467370108548708,1.0,21.009085028271837,255.84637225576148,147.75127997770227,486.19010932833646,9,1
1564,32.0,36.0,40.0,64,8.562973065386338,2.298275433338581,7.629473840037316,1.5511558778009533,4.169446609462422,1.0,2.2999613953088187,1.0,18.77397748881131,276.6836572399674,4.331022559609707,1.0,4.70372347010854,1.0,6.899333080399083,1.0,1.343365846815085,1.0,18.465933386265224,251.93404665464917,139.1935607766937,447.5288151955104,9,1
1565,32.0,36.0,40.0,65,5.413976261228937,1.8639336430578772,10.075716583687681,3.924691333872666,3.344741952674568,1.0,1.476976739598515,1.0,13.692914333013599,223.46743513587612,2.5073181699798437,2.148018071890785,10.48043829632747,2.6132250509712005,4.171498152733468,1.0,1.0,1.0,13.708956393591757,203.81462818972153,110.29506994728393,337.01271372781196,9,1
1566,32.0,36.0,40.0,66,9.494654531155247,3.663716912277994,4.450547853335099,5.408258254572438,3.000951164426824,1.0,1.7063258422583985,1.0,14.306861404861529,282.2857709060036,9.494638534407331,3.6637253212173246,4.450560647156416,5.408241759937815,3.0009596476128957,1.0000066734005417,1.7063385864259752,1.0,14.30686357611174,275.34403539831425,114.2677746903004,547.8993299252867,9,1
1567,32.0,36.0,40.0,67,9.967583092928972,6.126927891500775,4.804485787407437,1.9960278050242202,1.0,1.0,1.0,1.0,18.14062336830621,250.71134242433646,11.634839197517291,10.68873974429906,3.7646337281658506,1.0,1.0,1.0,1.6683201214820507,1.0,14.913750103414058,298.06345561366146,172.1316456168895,566.4160988248072,9,1
1568,32.0,36.0,40.0,68,7.0656655358252225,1.900475784078943,20.241057743478898,7.420825479281549,2.970991366479204,1.0,3.2628119376270277,1.0,15.872674392010063,314.1392235792866,3.723964724660924,1.0,19.573075138552852,6.1820183969831835,4.146402027328575,1.0,2.68258872293136,1.0,15.420560197771374,304.05785967039225,163.00900253582842,527.780774152229,9,1
1569,32.0,36.0,40.0,69,11.294144741810003,3.5804475841876475,5.1030022503246215,3.199705761462657,1.0,1.0,2.3952067415653673,1.0,16.4834730476212,325.29653515633476,9.599704556759457,4.780022582403471,6.622818553353264,3.464933704827886,1.0,1.0,3.498638717661182,1.0,16.163274971920277,437.28438258547726,219.7354022492023,723.060939025153,9,1
1570,32.0,36.0,40.0,70,7.330938898246475,1.1831453206043694,11.73919082411084,2.015989121786885,1.0252445905173762,1.0,1.0,1.0,12.011051985168049,243.69674715691482,3.2521310424770276,1.0,11.715474461440435,1.7019427000095055,1.9670535525772748,1.0,1.0,1.0,11.556127233897586,281.5737033570273,162.60881368868328,535.0802843601971,9,1
1571,32.0,36.0,40.0,71,10.753994300194936,5.177303682456921,4.53373334559964,2.797457244392217,1.0917179449482528,1.0,1.0,1.0,14.464733319756718,231.81049653345175,10.753986119434126,5.177316727059511,4.533726652635751,2.797441265525163,1.0917104152973465,1.0,1.0,1.0,14.464730621500905,228.07178349737126,128.86055767601476,424.0283308142367,9,1
1572,32.0,36.0,40.0,72,19.056602972090307,7.658000944553105,5.118276062763598,1.8707604636000335,6.006786899321715,1.0,1.327603169891954,1.0,17.82385690262987,290.4046930135628,17.974946409332908,8.770642743546983,3.4344415276707654,1.0,3.9874762057760758,1.0,1.0,1.0,16.810702905163012,293.7229550077935,165.95346957940333,546.0862033168402,9,1
1573,32.0,36.0,40.0,73,6.920008066900548,5.283924544983618,12.862445384339484,1.405070052040382,1.3588606098951757,1.0,1.0,1.0,16.932915167994576,213.91426208671456,2.8584397936584116,2.139175000540524,10.48390458224623,1.3850449234787061,3.301178225397569,1.0,1.0,1.0,18.235247259206126,220.11863328374875,129.86999363741174,427.34997906327806,9,1
1574,32.0,36.0,40.0,74,9.068809339048547,3.7110433058409718,14.954220710653818,1.550384865761977,2.533446929660058,1.0,1.0,1.0,18.469230850382942,266.8558604661746,5.255305684978032,2.6527444532515405,13.419335654966632,1.0,5.098122967915252,1.0,1.0,1.0,18.35371336162432,254.98088101877707,134.93416976168427,422.1708357568662,9,1
1575,32.0,36.0,40.0,75,8.755963647972242,3.536937959669821,11.740052006466447,1.6537009218509338,3.0516969697476215,1.0,3.7045140419877294,1.0,16.387681451138707,289.56847565993024,2.8208649521076916,1.0,7.376004967504721,1.0,2.362428627506109,1.0,1.9851453806164057,1.0,16.867924232046875,226.00197514842662,130.51614064821638,429.4761893125069,9,1
1576,32.0,36.0,40.0,76,9.327606643814569,5.490332888627436,12.392503028737483,2.1929203428386312,4.168300258452578,1.0,3.7015355641382612,1.0,18.626007702620928,367.3793906431392,8.26175789862878,6.735076411555178,11.59780839866259,1.8177903123170733,4.160732302240121,1.0,2.723219589202475,1.0,18.531461916974205,383.3825884456397,235.7802918940684,714.6696212284469,9,1
1577,32.0,36.0,40.0,77,11.563727843710073,3.0439964724923247,11.748863615363355,2.1121954259618443,1.0,1.0,2.0739717572208116,1.0,11.010595350496432,170.57922276045272,5.173374783517874,3.278657820341251,8.481905806815098,1.4966800265244236,1.0,1.0,2.4747078507466154,1.0,10.68074387458739,184.3826591279877,106.4809856464129,350.38614934930746,9,1
