,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
111,22.0,25.0,28.0,11,1.6050336069174373,2.844635506673526,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.516113849900017,2.895870463384261,1.0,1.2438892310364178,1.2503555295648525,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
112,22.0,25.0,28.0,12,3.2537973462306473,1.0,1.0,1.0,2.013805113191009,1.0,1.0,4518.0433848387665,2.836419908463648,1.0,1.0,1.0,2.991314374376587,1.0,1.0,1267.4793646268733,336.79085372540965,3576.736717981715,7
113,22.0,25.0,28.0,13,1.051649166057879,4.377823935788192,1.0,1.0,1.0,1.0,1.4672666400981185,10000000.000000006,1.5883444895795396,4.308236465679582,1.0,1.4630472528381173,1.0,1.0,1.4653603579206684,100000000000.0,708975000000.0,866525000000.0001,7
114,22.0,25.0,28.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.115423605202243,10000000.000000006,1.0,1.0,2.8697967685504073,1.593561935203904,1.0,1.0,1.8480883092777647,100000000000.0,708975000000.0,866525000000.0001,7
115,22.0,25.0,28.0,15,7.192043037194775,1.0251078649474477,3.525109091711693,1.0,1.0,1.0,1.4979414807122384,4557.476062201897,7.1920573966893055,1.0254018692175104,3.525122736266018,1.0,1.0,1.0001075471638068,1.4980190613167963,1218.123310687039,296.8004297385536,5130.407428337855,7
116,22.0,25.0,28.0,16,1.0,1.0,1.0,1.0,1.0,1.0,4.119325365338095,10000000.000000006,1.0,1.0,2.7253735294132553,1.0,1.0,1.0,4.302036178096238,100000000000.0,708975000000.0,866525000000.0001,7
117,22.0,25.0,28.0,17,15.329759324292468,1.0,1.0,1.0,1.0,1.0,1.8868794292876971,10000000.000000006,15.32607392482669,1.0,1.0,1.0,1.0,1.0,1.8211217728573759,100000000000.0,708975000000.0,866525000000.0001,7
118,22.0,25.0,28.0,18,1.0,1.0,8.528877099592297,2.9342741173963276,1.0,2.8680330038346598,1.0,10000000.000000006,2.5231704682797385,1.0,3.111077967230784,1.0,1.0,1.0,2.905856920197877,696.6382342191471,210.08685188391314,1903.8095373371402,7
119,22.0,25.0,28.0,19,1.0,1.0,1.0,1.0,1.0,1.0,6.481715264419722,10000000.000000006,1.0,1.0,1.000704104608993,1.0,1.0,1.0005398960578342,6.481714650841369,2038.137493662934,14449.885295696786,17660.97091696274,7
120,23.0,26.0,29.0,0,1.0,3.1887882610783165,1.0,5.6641286738579355,5.749040816945695,2.6584673879908602,11.452775927730361,4966762.097348676,1.0747958942274631,3.1618977970720072,1.0,5.6486759443592,5.7664122842112775,2.691705992711591,11.44911914553236,100000000000.0,108076896935.95976,132094017094.0171,7
121,23.0,26.0,29.0,1,1.0,4.585169110486746,2.374599789043014,5.0671905228500345,2.0543183311794078,3.5847328325560754,17.847958599974426,5717.384103145446,1.0000413025982344,4.585159709262036,2.3746027604713813,5.067199736363781,2.054331238283949,3.5847540103128233,17.84795976280576,2838.0217691690646,370.6977836259098,1649.4334909773024,7
122,23.0,26.0,29.0,2,1.9895663204435194,1.0,1.0,1.0,3.0178530982190277,3.834165692727496,3.732389504578448,491.224548347169,2.3567004053034015,1.796742686175741,1.0,2.0857678081917346,3.756915294505106,3.6167502938599183,3.620266988209248,693.7064194183741,405.12283941132597,1152.2463626539195,7
123,23.0,26.0,29.0,3,5.283373961947804,2.7393173471303167,1.0,2.4266997916458792,3.894372631007764,1.7339328735078126,11.67236636865863,13109.098449912488,5.283372761424299,2.7393205517055947,1.0,2.426697274866049,3.8943756986728575,1.7339323843229681,11.67236688512173,9969.999570535429,70684.80445520357,86392.53877858215,7
124,23.0,26.0,29.0,4,1.0,6.528788613622616,1.0,1.5921293777605268,1.108307045398911,6.96795091211353,13.60712051490905,925.1706851974785,1.867151131518656,7.871139199969017,1.4525168658084304,1.5348083130587309,2.2390225387255382,10.55838695104915,18.289900665627414,100000000000.0,123390468160.5583,150897435897.4359,7
125,23.0,26.0,29.0,5,1.7894359815222767,6.736512815368532,1.0,3.056203950817436,8.441127713540826,3.1903175654609415,8.910307132374562,782.2911692221298,1.9843364468866056,6.0530979984883,1.0,1.9881568759999757,8.092431755279787,4.522784827855971,8.950876531326786,530.3035641101055,129.5177395286913,1545.700680889419,7
126,23.0,26.0,29.0,6,2.6381291000221934,5.510310013695482,1.5878270519654774,1.46368737483151,2.207984601981164,6.752216497006072,5.377526899467756,632.9589863464324,3.2215688937387474,5.520287557528826,1.2582890660253483,1.1587667289057275,2.2109475854824017,6.93800413481639,5.7071722362152215,609.7289098913633,310.4860167438949,2365.8099270657804,7
