,Subdivision category,3166-2 code,Subdivision name
161,council area,GB-SCB,Scottish Borders
162,metropolitan district,GB-SFT,Sefton
163,metropolitan district,GB-SHF,Sheffield
164,council area,GB-ZET,Shetland Islands
165,unitary authority,GB-SHR,Shropshire
166,unitary authority,GB-SLG,Slough
167,metropolitan district,GB-SOL,Solihull
168,two-tier county,GB-SOM,Somerset
169,council area,GB-SAY,South Ayrshire
170,unitary authority,GB-SGC,South Gloucestershire
171,council area,GB-SLK,South Lanarkshire
172,metropolitan district,GB-STY,South Tyneside
173,unitary authority,GB-STH,Southampton
174,unitary authority,GB-SOS,Southend-on-Sea
175,London borough,GB-SWK,Southwark
176,metropolitan district,GB-SHN,St. Helens
177,two-tier county,GB-STS,Staffordshire
178,council area,GB-STG,Stirling
179,metropolitan district,GB-SKP,Stockport
180,unitary authority,GB-STT,Stockton-on-Tees
181,unitary authority,GB-STE,Stoke-on-Trent
182,two-tier county,GB-SFK,Suffolk
183,metropolitan district,GB-SND,Sunderland
184,two-tier county,GB-SRY,Surrey
185,London borough,GB-STN,Sutton
186,unitary authority,GB-SWA,Swansea
187,unitary authority,GB-SWD,Swindon
188,metropolitan district,GB-TAM,Tameside
189,unitary authority,GB-TFW,Telford and Wrekin
190,unitary authority,GB-THR,Thurrock
191,unitary authority,GB-TOB,Torbay
192,unitary authority,GB-TOF,Torfaen
193,London borough,GB-TWH,Tower Hamlets
194,metropolitan district,GB-TRF,Trafford
195,unitary authority,GB-VGL,Vale of Glamorgan
196,metropolitan district,GB-WKF,Wakefield
197,metropolitan district,GB-WLL,Walsall
198,London borough,GB-WFT,Waltham Forest
199,London borough,GB-WND,Wandsworth
200,unitary authority,GB-WRT,Warrington
201,two-tier county,GB-WAR,Warwickshire
202,unitary authority,GB-WBK,West Berkshire
203,council area,GB-WDU,West Dunbartonshire
204,council area,GB-WLN,West Lothian
205,two-tier county,GB-WSX,West Sussex
206,London borough,GB-WSM,Westminster
207,metropolitan district,GB-WGN,Wigan
208,unitary authority,GB-WIL,Wiltshire
209,unitary authority,GB-WNM,Windsor and Maidenhead
210,metropolitan district,GB-WRL,Wirral
211,unitary authority,GB-WOK,Wokingham
212,metropolitan district,GB-WLV,Wolverhampton
213,two-tier county,GB-WOR,Worcestershire
214,unitary authority,GB-WRX,Wrexham
215,unitary authority,GB-YOR,York
