,lineage,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0
11,11,3.0,8.0,9.0,9.0,22.0,15.0,8.0,14.0,7.0,20.0,22.0,11.0,10.0,16.0,20.0,12.0,13.0,13.0,20.0,28.0,9.0,16.0,21.0,22.0,16.0,4.0,14.0,20.0,7.0,12.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,9.0,8.0,10.0,29.0,34.0,31.0,41.0,28.0,52.0,56.0,80.0,77.0,75.0,122.0,123.0,77.0,67.0,101.0,100.0,88.0,64.0,82.0,104.0,129.0,127.0,104.0,123.0,165.0,152.0,105.0,130.0,206.0,171.0,203.0,194.0,207.0,206.0,277.0,186.0,268.0,289.0,216.0,180.0,171.0,128.0,263.0,223.0,299.0,162.0,192.0
13,13,109.0,252.0,165.0,407.0,459.0,515.0,576.0,451.0,577.0,839.0,1035.0,1196.0,938.0,1714.0,1591.0,1234.0,1119.0,1565.0,2043.0,1911.0,1441.0,1778.0,1684.0,2029.0,2418.0,2045.0,2554.0,2733.0,2381.0,2071.0,1607.0,2403.0,2297.0,2352.0,2170.0,2431.0,2770.0,3005.0,2833.0,3705.0,3808.0,2969.0,2436.0,3369.0,2246.0,4127.0,2963.0,4091.0,2973.0,3268.0
14,14,18.0,37.0,23.0,60.0,67.0,90.0,78.0,59.0,60.0,95.0,106.0,139.0,87.0,142.0,163.0,128.0,93.0,170.0,209.0,208.0,145.0,172.0,190.0,258.0,241.0,194.0,313.0,285.0,223.0,219.0,210.0,301.0,258.0,198.0,176.0,155.0,118.0,170.0,143.0,125.0,169.0,116.0,115.0,141.0,86.0,110.0,101.0,159.0,95.0,127.0
15,15,1.0,3.0,0.0,2.0,4.0,2.0,6.0,6.0,2.0,6.0,6.0,0.0,1.0,12.0,22.0,10.0,7.0,8.0,18.0,10.0,12.0,15.0,9.0,20.0,26.0,32.0,17.0,27.0,40.0,42.0,36.0,69.0,59.0,66.0,45.0,45.0,55.0,67.0,39.0,81.0,77.0,102.0,47.0,61.0,48.0,69.0,51.0,80.0,38.0,24.0
16,16,16.0,52.0,33.0,76.0,99.0,96.0,96.0,111.0,192.0,196.0,267.0,284.0,248.0,432.0,503.0,391.0,361.0,456.0,578.0,537.0,345.0,431.0,428.0,594.0,533.0,373.0,494.0,485.0,436.0,372.0,284.0,447.0,388.0,467.0,366.0,447.0,467.0,475.0,431.0,676.0,707.0,496.0,418.0,380.0,409.0,981.0,544.0,861.0,476.0,576.0
17,17,3.0,2.0,4.0,13.0,17.0,14.0,7.0,10.0,11.0,15.0,12.0,4.0,8.0,38.0,30.0,25.0,33.0,41.0,50.0,75.0,53.0,46.0,40.0,44.0,74.0,45.0,46.0,73.0,81.0,46.0,47.0,84.0,75.0,71.0,70.0,78.0,86.0,114.0,113.0,178.0,154.0,76.0,102.0,89.0,67.0,132.0,43.0,92.0,47.0,62.0
18,18,2.0,17.0,8.0,41.0,42.0,35.0,42.0,33.0,55.0,61.0,84.0,117.0,84.0,198.0,136.0,130.0,121.0,186.0,225.0,181.0,214.0,230.0,229.0,277.0,353.0,266.0,433.0,432.0,389.0,276.0,229.0,344.0,352.0,306.0,257.0,287.0,371.0,381.0,398.0,485.0,417.0,343.0,336.0,477.0,294.0,415.0,366.0,546.0,375.0,405.0
19,19,7.0,25.0,19.0,48.0,71.0,52.0,74.0,38.0,79.0,104.0,114.0,140.0,87.0,170.0,119.0,125.0,94.0,163.0,229.0,218.0,156.0,170.0,179.0,220.0,218.0,181.0,264.0,244.0,203.0,180.0,98.0,174.0,139.0,120.0,106.0,136.0,111.0,116.0,48.0,128.0,126.0,145.0,78.0,128.0,88.0,52.0,95.0,183.0,117.0,113.0
20,20,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,1.0,4.0,5.0,10.0,8.0,11.0,6.0,18.0,24.0,26.0,12.0,17.0,9.0,9.0,9.0,22.0,14.0,13.0,20.0,17.0,12.0,16.0,43.0,45.0,43.0,47.0,49.0,43.0,25.0,29.0,18.0,19.0,27.0,14.0,28.0,13.0,16.0,39.0,39.0,56.0,44.0
