,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
5505,76.0,80.0,84.0,5,1.0,2.687020763371217,2.2468908939849244,3.950469895144825,1.0,2.110178174783372,8.837043709795273,2.8893459867278164,1.0,654.5109358297627,1.3764458030543882,1.0,1.0,1.1479451498958935,1.0,1.1031462131276224,8.935910015436626,1.876875468055289,1.0,178.64421087625652,26.95431816851419,346.8293376114673,9
5506,76.0,80.0,84.0,6,5.316420074586086,1.0,1.0,1.0,1.3678812282466841,2.3722472669833397,1.0,2.6922287786415025,1.2701918713153593,389.0828210119992,8.059757454455857,2.155958903795066,1.8642296490139,1.0,1.4682699731524027,3.864658664844488,1.0,4.8116743015885355,4.409428045145317,1060.9744636678845,272.95333018808867,2147.1130652560973,9
5507,76.0,80.0,84.0,7,3.0889140828505117,2.020707032864705,1.2280745592426268,1.514596834012868,4.826204822318299,1.0,3.2095620084297205,3.1136924032177187,1.0,776.7553041740989,3.2557095876067255,1.0,1.0,1.0,2.409853751255209,1.0,3.7310449730865876,2.7441433343097326,1.0,234.62885246275414,38.20569701669139,497.51023455973166,9
5508,76.0,80.0,84.0,8,1.0,1.8604656903908112,2.3337355240753013,3.027300622388722,1.0,1.217430957637222,5.491760690825788,3.4383902462139058,1.0,9345.370139800894,1.0,1.0,1.0,1.0,1.0,1.0,5.5646956631932545,2.848659046825815,1.0,216.47907566999626,93.82888222161964,420.28394904649275,9
5509,76.0,80.0,84.0,9,2.163162486776309,1.3566345729632996,1.0,1.2054431502542198,2.15351690989459,1.154428064310889,1.0,3.2950033631859355,1.8388993727094383,1912.8756137769408,4.084177100802651,1.693470792345085,1.0,1.0,2.4437697533377087,3.7887068339582037,1.0,5.766070747970592,6.104937976841922,33240.28483014751,14122.028644845761,53487.02755168992,9
5510,76.0,80.0,84.0,10,1.2370228429278676,1.2101621199338213,2.0682829788965575,1.0,1.0,1.168746879686542,1.0,2.5025026970959163,1.0,258.7118759137381,1.5639507650182727,1.0,2.441009495877531,1.0,1.0,1.0785437124886001,2.7419324333270545,2.5241810120872654,1.0,210.59536768495474,53.704906026360845,408.86100657809806,9
5511,76.0,80.0,84.0,11,1.0,1.4246194683581788,3.5604506719404,1.0,1.1528927534170927,1.0,3.4613019076937817,2.6942979996312406,1.0,2736.9368745853358,1.0,1.0,2.2664577379554953,1.0,1.0,1.3326587358059216,3.4915696131547773,2.1689959497971603,1.0,320.9387038989221,108.38403995044929,623.0874067576083,9
5512,76.0,80.0,84.0,12,2.2586249418671387,1.111235320634908,1.0,1.0,1.0,1.0,1.0,3.4446435964846303,1.0,921.2250218950078,2.3511011879143577,1.0,1.0,1.0,1.5957885378830223,1.9308392707224293,1.4999752493279939,3.461096946197259,1.012476566556245,347.76046630010296,139.3440857524857,815.6340825483784,9
5513,76.0,80.0,84.0,13,3.183657589330281,1.0,1.0,1.0,1.0,1.2241952441373627,4.551613616673536,4.39354031574441,1.0,43536.72257214251,3.1603876487584266,1.0,1.0194380581569762,1.0,1.0,2.1285706044564483,4.496865136297628,4.446621021221132,1.0,459.9242079711236,428.6730289722022,763.9341094400364,9
5514,76.0,80.0,84.0,14,2.857037510039189,1.0,3.713421367935986,1.0,1.0,2.513138688733658,1.0,2.9122982170636957,1.0,324.47410863777316,1.0145918813270671,1.0,1.2789430736424843,1.0,1.0,1.2415234375246604,3.6165720812093336,2.811845519248664,1.0,139.81033141764735,56.66747708050492,271.4351861668256,9
5515,76.0,80.0,84.0,15,3.039987585508762,1.0,2.569075904242689,1.0,1.0,3.1458703660346967,1.0,3.1197150592992364,3.0519256388868974,10000000.000000006,3.528991733194453,1.0,2.33556005639515,1.0,1.2195737471816872,4.260057281382788,1.0,6.2841448048517,5.826490378931567,4614.998416151016,3467.212696619052,36913.642094661875,9
5516,76.0,80.0,84.0,16,3.5668235842532265,1.0,1.0,1.0,1.3979703384116697,1.882663847531637,1.0,3.209524871511883,1.0,293.34035563235153,3.133109311069757,1.0,1.0,1.0,1.0,1.242338781959955,3.9444869448312594,2.885032385070449,1.0,184.36858148925137,73.57607917970816,357.94293406225177,9
5517,76.0,80.0,84.0,17,2.453484063373904,3.326388455007536,1.0,1.0,1.0,1.0,1.0,3.6138892116159864,5.284371069874841,10000000.000000006,4.23581575444499,3.4838707295032587,1.0518804945543851,1.0,1.0,3.2002442623616143,1.0,7.267846398003882,8.677613784264565,100000000000.0,709528886718.75,866525000000.0001,9
